wage,hours,IQ,degree,exper,age,sibs,brthord,meduc,famses
590,40,109,3,10,29,2,1,1,1
923,50,122,3,10,31,1,2,2,2
652,50,113,2,14,36,1,1,1,1
618,42,104,2,6,30,3,1,1,1
866,40,121,3,7,28,1,2,2,2
1160,40,92,2,8,31,3,3,3,3
1778,40,109,3,14,36,0,3,3,3
1903,48,118,3,13,36,0,3,3,3
525,40,99,2,9,34,2,1,1,1
670,45,117,2,10,30,3,1,1,1
550,46,95,2,18,35,1,1,1,1
727,55,106,3,10,31,1,1,1,1
865,40,114,2,6,30,2,2,2,2
1081,40,92,3,8,30,3,3,3,3
1273,55,84,3,14,37,1,3,3,3
600,40,107,2,16,33,3,1,1,1
1250,40,117,3,10,33,1,3,3,3
1014,55,110,3,13,30,1,2,2,2
913,40,110,3,4,29,3,2,2,2
265,40,101,2,18,37,1,1,1,1
1391,50,109,2,14,32,1,3,3,3
821,45,85,3,8,32,3,2,2,2
520,50,107,3,6,29,3,1,1,1
1924,50,112,3,9,38,3,3,3,3
1115,40,118,3,12,33,1,3,3,3
449,36,91,2,7,30,1,1,1,1
1500,40,103,2,10,34,2,3,3,3
1136,50,117,3,16,34,2,3,3,3
800,45,110,2,19,36,3,2,2,2
1339,38,96,2,8,33,0,3,3,3
1063,40,90,2,14,32,2,3,3,3
808,40,99,2,18,38,0,2,2,2
375,40,99,2,12,30,3,1,1,1
537,40,97,2,14,31,2,1,1,1
1082,55,95,2,11,29,2,3,3,3
930,40,126,3,10,31,3,2,2,2
841,40,102,3,10,29,3,2,2,2
587,38,117,3,8,29,3,1,1,1
1058,40,89,2,7,29,2,3,3,3
417,48,131,2,7,28,1,1,1,1
711,45,100,3,13,36,1,1,1,1
850,43,113,2,7,28,1,2,2,2
1602,65,97,3,14,37,1,3,3,3
898,40,101,3,7,35,3,2,2,2
571,40,78,3,10,29,3,1,1,1
445,45,110,2,15,32,2,1,1,1
289,40,94,2,9,30,2,1,1,1
962,55,108,2,19,36,3,2,2,2
909,55,97,2,17,35,3,2,2,2
1050,40,119,3,7,37,2,2,2,2
1079,50,87,2,18,36,3,3,3,3
654,50,121,3,12,34,1,1,1,1
781,50,112,2,8,30,2,2,2,2
666,70,117,3,8,32,0,1,1,1
817,40,116,3,10,31,1,2,2,2
577,60,104,3,6,30,2,1,1,1
756,40,78,3,9,31,2,2,2,2
1155,45,85,2,14,34,2,3,3,3
1025,40,104,2,12,29,3,2,2,2
1001,40,109,2,20,37,1,2,2,2
1230,50,96,3,11,30,3,3,3,3
754,40,93,2,13,30,3,1,1,1
1000,45,103,3,8,32,3,2,2,2
600,40,114,2,8,30,3,1,1,1
951,40,86,2,13,31,3,2,2,2
711,45,110,3,8,32,3,1,1,1
1000,40,89,2,9,28,2,2,2,2
400,70,100,2,12,32,3,1,1,1
1175,45,111,2,17,34,0,3,3,3
1202,40,100,2,18,37,0,3,3,3
781,40,89,2,13,30,3,2,2,2
750,60,74,2,13,30,3,1,1,1
1346,50,108,3,9,36,1,3,3,3
1250,40,125,3,9,30,3,3,3,3
475,52,98,3,12,30,3,1,1,1
800,50,92,2,18,34,0,2,2,2
658,40,129,3,11,30,2,1,1,1
1270,40,118,3,4,36,2,3,3,3
1442,40,118,3,6,29,2,3,3,3
1400,42,108,3,7,31,2,3,3,3
523,43,119,3,9,30,3,1,1,1
729,47,122,3,6,34,3,1,1,1
1010,50,104,2,15,38,3,2,2,2
600,40,96,2,7,29,3,1,1,1
596,40,83,2,16,34,3,1,1,1
850,44,115,2,11,29,3,2,2,2
793,40,96,2,17,36,3,2,2,2
1442,40,123,3,14,38,2,3,3,3
670,50,108,2,14,34,3,1,1,1
841,40,109,3,13,36,3,2,2,2
533,45,109,3,8,30,2,1,1,1
745,40,94,3,17,36,2,1,1,1
900,40,103,2,15,37,3,2,2,2
1170,47,123,3,9,32,3,3,3,3
540,50,113,2,12,31,3,1,1,1
615,40,100,3,9,30,3,1,1,1
909,40,95,3,6,31,2,2,2,2
769,40,100,2,18,36,1,2,2,2
879,70,90,2,17,35,1,2,2,2
1000,55,114,3,10,33,0,2,2,2
1100,40,92,3,21,38,3,3,3,3
1035,48,107,2,21,38,1,2,2,2
1250,40,114,3,8,30,3,3,3,3
586,60,111,3,6,34,3,1,1,1
562,40,99,2,18,34,1,1,1,1
692,50,120,2,17,35,3,1,1,1
1282,45,121,3,7,32,2,3,3,3
1346,40,134,3,15,35,2,3,3,3
888,50,105,3,9,32,2,2,2,2
1850,40,80,2,14,33,3,3,3,3
489,55,104,3,20,38,2,1,1,1
1126,40,116,2,5,31,3,3,3,3
500,70,83,2,13,32,3,1,1,1
1200,50,84,2,13,32,3,3,3,3
1920,40,109,2,13,31,0,3,3,3
774,40,94,2,20,37,1,2,2,2
975,40,101,3,12,30,3,2,2,2
1366,40,90,2,13,30,3,3,3,3
1161,40,99,3,16,36,0,3,3,3
1026,45,85,2,4,38,1,2,2,2
1111,45,118,3,11,32,3,3,3,3
1154,40,109,3,12,34,0,3,3,3
610,50,89,2,14,30,1,1,1,1
1749,43,101,2,16,36,2,3,3,3
765,45,94,2,17,37,3,2,2,2
790,40,115,2,15,34,3,2,2,2
818,47,92,2,16,38,3,2,2,2
477,60,71,2,12,30,3,1,1,1
938,50,130,3,15,33,3,2,2,2
350,40,74,2,14,32,3,1,1,1
1202,40,124,3,11,28,2,3,3,3
556,40,69,2,13,34,3,1,1,1
995,40,92,2,22,38,3,2,2,2
606,45,100,3,6,30,1,1,1,1
511,45,101,2,13,30,3,1,1,1
1377,37,118,3,15,36,2,3,3,3
874,55,132,3,8,33,2,2,2,2
693,40,79,2,18,38,3,1,1,1
727,55,97,2,11,31,3,1,1,1
884,46,120,3,4,36,2,2,2,2
698,43,97,2,10,29,2,1,1,1
800,55,106,2,17,36,3,2,2,2
812,40,131,3,9,30,1,2,2,2
1000,40,93,2,16,34,1,2,2,2
549,49,79,2,11,32,3,1,1,1
1539,40,112,2,15,32,3,3,3,3
721,40,105,2,11,30,3,1,1,1
940,40,71,2,9,29,2,2,2,2
1417,38,88,3,9,32,2,3,3,3
500,40,98,3,14,32,3,1,1,1
766,40,109,2,17,35,3,2,2,2
750,43,94,3,12,33,1,1,1,1
550,40,77,2,15,37,3,1,1,1
795,52,89,2,16,34,3,2,2,2
723,40,102,2,12,30,3,1,1,1
1199,43,70,3,13,30,3,3,3,3
1270,40,104,3,8,31,3,3,3,3
963,40,85,3,9,28,3,2,2,2
1463,45,104,3,14,37,3,3,3,3
802,40,99,2,13,29,3,2,2,2
375,40,89,3,9,30,3,1,1,1
325,40,93,3,10,33,1,1,1,1
1442,40,132,3,8,33,3,3,3,3
560,49,112,3,13,32,3,1,1,1
550,56,99,2,17,36,1,1,1,1
950,44,96,3,8,32,1,2,2,2
684,45,106,3,16,38,1,1,1,1
1634,40,95,2,18,38,3,3,3,3
417,40,80,2,8,30,3,1,1,1
472,45,71,2,9,32,3,1,1,1
1679,55,127,3,10,32,1,3,3,3
1602,60,110,3,14,37,3,3,3,3
1442,40,110,3,13,29,1,3,3,3
705,50,100,2,15,36,1,1,1,1
852,44,89,2,13,32,3,2,2,2
1000,40,72,2,16,34,3,2,2,2
1329,55,115,3,10,36,1,3,3,3
577,55,108,3,4,31,2,1,1,1
685,40,93,2,17,38,3,1,1,1
577,40,111,3,8,29,1,1,1,1
1040,40,101,2,19,38,3,2,2,2
480,40,76,2,17,35,3,1,1,1
1000,40,93,2,11,29,3,2,2,2
988,48,91,2,15,36,1,2,2,2
478,45,90,2,19,34,2,1,1,1
440,40,84,2,11,30,3,1,1,1
705,40,89,2,19,36,0,1,1,1
1000,40,100,2,16,32,2,2,2,2
1346,40,112,3,14,35,0,3,3,3
961,40,76,2,13,31,3,2,2,2
479,40,97,2,15,38,3,1,1,1
543,45,90,3,5,38,1,1,1,1
450,40,63,2,12,31,3,1,1,1
462,55,61,2,6,29,3,1,1,1
705,40,76,2,13,37,3,1,1,1
1282,45,97,3,4,32,3,3,3,3
556,40,127,3,6,31,2,1,1,1
900,55,100,2,18,34,2,2,2,2
1602,45,111,3,10,31,1,3,3,3
1500,60,124,3,6,29,2,3,3,3
1004,40,81,2,17,34,1,2,2,2
650,40,99,2,13,30,1,1,1,1
808,40,93,2,17,37,3,2,2,2
2137,45,102,3,8,30,0,3,3,3
761,48,95,2,14,38,1,2,2,2
769,40,98,3,8,35,0,2,2,2
987,38,109,3,9,31,3,2,2,2
1098,45,105,3,6,32,1,3,3,3
1212,40,95,2,6,38,3,3,3,3
577,40,92,3,8,28,1,1,1,1
390,59,74,3,10,30,3,1,1,1
1442,60,117,3,9,31,1,3,3,3
1500,37,119,3,8,33,1,3,3,3
2162,40,124,3,10,32,1,3,3,3
797,41,89,2,10,36,1,2,2,2
1744,43,106,3,8,29,1,3,3,3
630,40,103,3,14,32,0,1,1,1
660,42,101,3,12,31,0,1,1,1
560,44,70,2,16,35,2,1,1,1
1386,40,97,2,17,37,1,3,3,3
1154,40,117,3,11,35,3,3,3,3
480,40,83,2,9,37,3,1,1,1
1442,40,113,3,14,36,2,3,3,3
350,40,93,2,16,33,1,1,1,1
577,40,106,3,11,33,3,1,1,1
713,40,75,2,5,36,3,1,1,1
929,40,97,3,12,30,2,2,2,2
400,50,68,2,4,31,3,1,1,1
1241,40,83,3,9,33,2,3,3,3
403,45,98,2,5,30,2,1,1,1
812,40,81,2,17,34,2,2,2,2
450,40,79,2,20,36,3,1,1,1
500,40,69,2,21,38,3,1,1,1
1000,44,113,3,8,34,3,2,2,2
600,40,127,2,8,28,2,1,1,1
962,50,109,2,21,37,0,2,2,2
865,40,85,3,4,34,3,2,2,2
1300,40,78,3,12,33,2,3,3,3
900,40,54,3,12,31,2,2,2,2
829,40,98,2,15,36,3,2,2,2
500,44,87,3,5,31,3,1,1,1
950,55,85,3,8,29,2,2,2,2
1710,45,114,3,7,32,1,3,3,3
2004,48,105,3,10,34,2,3,3,3
890,60,92,3,9,32,1,2,2,2
1354,40,119,3,13,35,2,3,3,3
962,40,110,2,16,33,2,2,2,2
926,55,64,2,18,38,3,2,2,2
1559,40,103,2,17,34,3,3,3,3
923,40,118,3,8,35,3,2,2,2
583,48,94,3,10,37,2,1,1,1
1371,40,128,3,8,36,1,3,3,3
360,55,110,3,11,38,3,1,1,1
909,40,102,2,14,33,3,2,2,2
2137,45,108,3,11,36,2,3,3,3
692,50,92,3,9,38,0,1,1,1
931,80,108,3,4,36,3,2,2,2
500,40,101,3,12,32,2,1,1,1
1384,50,114,3,12,37,1,3,3,3
528,55,116,3,5,30,3,1,1,1
881,40,90,2,4,36,2,2,2,2
1212,40,98,2,11,28,3,3,3,3
1843,48,109,3,11,32,3,3,3,3
1000,40,121,3,6,33,2,2,2,2
737,48,103,2,7,30,3,1,1,1
1025,48,104,3,6,32,2,2,2,2
1107,40,112,2,12,38,3,3,3,3
625,40,73,2,1,31,3,1,1,1
855,40,99,2,19,36,1,2,2,2
900,40,110,2,6,28,1,2,2,2
962,40,112,3,8,37,2,2,2,2
1874,48,64,2,22,38,3,3,3,3
1573,55,90,2,5,30,3,3,3,3
940,45,102,3,11,36,1,2,2,2
900,40,119,3,8,30,1,2,2,2
1260,45,79,2,19,37,3,3,3,3
751,40,96,2,9,38,1,1,1,1
1154,40,116,3,11,34,2,3,3,3
1250,40,78,2,16,33,3,3,3,3
1211,27,92,2,13,31,3,3,3,3
904,50,98,3,7,33,3,2,2,2
1200,40,96,2,18,34,3,3,3,3
950,40,96,2,14,35,1,2,2,2
115,50,108,2,9,29,3,1,1,1
1084,45,95,3,17,37,1,3,3,3
1058,40,94,3,13,34,0,1,3,3
369,40,117,3,11,31,3,1,1,1
855,40,109,2,17,36,3,2,2,2
864,40,87,2,15,31,1,2,2,2
1092,44,110,3,15,36,3,3,3,3
1025,40,110,3,9,30,3,2,2,2
800,40,122,3,10,31,3,2,2,2
1200,40,79,3,9,32,0,3,3,3
850,43,111,3,8,34,3,2,2,2
1000,40,110,2,6,37,3,2,2,2
788,40,99,2,10,28,3,2,2,2
950,40,86,2,23,38,3,2,2,2
625,40,72,2,17,34,3,1,1,1
680,40,86,2,13,32,3,1,1,1
2308,40,116,3,8,38,3,3,3,3
1500,40,101,3,13,32,3,3,3,3
801,48,100,3,6,29,2,2,2,2
640,23,96,2,7,31,3,1,1,1
1198,32,117,3,7,30,1,3,3,3
390,55,93,2,4,32,1,1,1,1
1076,38,106,2,19,36,1,3,3,3
1127,40,98,2,17,36,1,3,3,3
1104,54,96,2,11,29,1,3,3,3
800,43,96,2,10,29,1,2,2,2
1384,50,104,3,8,31,3,3,3,3
425,30,106,3,8,36,0,1,1,1
370,32,73,2,13,31,3,1,1,1
596,40,62,2,16,33,3,1,1,1
402,40,76,2,9,28,3,1,1,1
1133,40,106,3,13,36,1,3,3,3
606,40,86,2,13,30,3,1,1,1
340,50,104,3,4,31,3,1,1,1
692,50,95,2,16,34,2,1,1,1
987,40,96,2,11,29,1,2,2,2
616,55,104,2,16,35,3,1,1,1
808,40,106,2,4,29,1,2,2,2
808,50,101,3,8,30,1,2,2,2
1418,45,102,2,19,36,2,3,3,3
260,40,75,2,21,37,3,1,1,1
562,80,104,2,11,28,1,1,1,1
1009,40,118,3,11,32,0,2,2,2
1442,40,108,2,17,36,1,3,3,3
754,40,55,2,13,33,2,1,1,1
700,40,73,2,17,38,3,1,1,1
503,40,84,2,11,30,3,1,1,1
937,40,104,2,14,32,1,2,2,2
642,35,87,3,9,30,3,1,1,1
900,40,80,2,15,38,3,2,2,2
894,40,104,3,7,35,3,2,2,2
1282,60,96,3,7,32,3,3,3,3
325,55,113,2,11,29,1,1,1,1
769,45,105,2,16,33,3,2,2,2
618,40,84,3,6,31,3,1,1,1
1065,65,104,3,10,34,2,3,3,3
1070,40,91,2,13,30,1,3,3,3
700,45,99,2,15,32,3,1,1,1
494,40,74,2,16,34,3,1,1,1
890,48,100,2,4,31,0,2,2,2
520,40,86,2,15,31,0,1,1,1
481,48,98,2,14,31,3,1,1,1
962,50,97,3,7,30,0,2,2,2
1000,44,103,2,9,29,0,2,2,2
600,40,114,3,5,30,2,1,1,1
450,40,95,2,12,30,2,1,1,1
357,70,97,3,6,28,1,1,1,1
960,40,83,3,14,32,3,2,2,2
566,45,104,3,5,32,1,1,1,1
645,45,93,2,11,35,3,1,1,1
788,40,100,2,15,32,3,2,2,2
664,60,82,3,10,34,3,1,1,1
520,40,79,3,6,30,0,1,1,1
1202,40,102,3,10,31,3,3,3,3
1000,40,107,2,17,35,3,2,2,2
