wage,hours,IQ,exper,urban,sibs,meduc,famses
788,40,96,13,1,3,2,2
850,40,105,6,1,1,2,2
900,38,106,10,1,3,2,2
1418,45,102,19,1,2,3,3
1009,40,118,11,0,0,2,2
750,40,50,14,0,3,1,1
754,40,55,13,0,2,1,1
937,40,104,14,0,1,2,2
750,40,83,4,0,3,1,1
642,35,87,9,0,3,1,1
894,40,104,7,0,3,2,2
1282,60,96,7,1,3,3,3
485,40,89,10,0,3,1,1
325,55,113,11,0,1,1,1
769,45,105,16,0,3,2,2
1040,48,108,16,1,3,2,2
300,24,83,16,1,3,1,1
1065,65,104,10,1,2,3,3
1070,40,91,13,1,1,3,3
1573,55,112,7,1,1,3,3
890,48,100,4,0,0,2,2
891,40,90,16,0,3,2,2
500,44,107,21,0,2,1,1
1473,40,110,15,0,1,3,3
803,40,120,4,1,3,2,2
629,60,93,6,0,3,1,1
357,70,97,6,0,1,1,1
960,40,83,14,1,3,2,2
481,40,82,9,0,2,1,1
1442,40,113,8,1,2,3,3
788,40,100,15,0,3,2,2
644,42,101,11,0,3,1,1
664,60,82,10,1,3,1,1
520,40,79,6,0,0,1,1
1000,40,107,17,0,3,2,2
