wage,hours,IQ,degree,age,brthord,famses
618,42,104,1,30,1,1
529,40,110,1,32,1,1
962,40,120,2,32,2,2
866,40,121,2,28,2,2
2404,50,96,3,36,3,3
1126,40,110,3,32,3,3
1160,40,92,3,31,3,3
1778,40,109,3,36,3,3
1903,48,118,3,36,3,3
670,45,117,1,30,1,1
500,45,90,1,37,1,1
550,46,95,1,35,1,1
1081,40,92,3,30,3,3
575,40,85,1,30,1,1
623,45,98,1,30,1,1
515,45,114,1,28,1,1
1273,55,84,3,37,3,3
795,45,88,2,35,2,2
740,50,84,1,38,1,1
1014,55,110,2,30,2,2
913,40,110,2,29,2,2
794,40,114,2,29,2,2
520,50,107,1,29,1,1
1730,50,117,3,37,3,3
1924,50,112,3,38,3,3
2162,40,116,3,31,3,3
923,50,123,2,31,2,2
978,48,104,2,36,2,2
1031,40,112,2,33,2,2
1272,40,107,3,30,3,3
1136,50,117,3,34,3,3
1339,38,96,3,33,3,3
1063,40,90,3,32,3,3
375,40,99,1,30,1,1
1082,55,95,3,29,3,3
1155,40,109,3,38,3,3
769,55,105,2,38,2,2
587,38,117,1,29,1,1
1924,45,112,3,38,3,3
1058,40,89,3,29,3,3
1202,48,114,3,28,3,3
1154,40,98,3,37,3,3
1070,40,124,3,32,3,3
1202,40,125,3,29,3,3
1000,40,102,2,35,2,2
490,49,82,1,31,1,1
1000,40,112,2,35,2,2
865,40,111,2,31,2,2
1375,40,96,3,30,3,3
1602,65,97,3,37,3,3
3078,65,120,3,36,3,3
898,40,101,2,35,2,2
952,40,99,2,31,2,2
571,40,78,1,29,1,1
445,45,110,1,32,1,1
1444,40,120,3,37,3,3
1250,40,106,3,35,3,3
1016,40,72,2,37,2,2
800,40,88,2,37,2,2
1050,40,119,2,37,2,2
817,40,116,2,31,2,2
1011,40,104,2,37,2,2
1025,40,104,2,29,2,2
1350,40,107,3,35,3,3
1230,50,96,3,30,3,3
714,40,90,1,37,1,1
2067,40,106,3,33,3,3
912,40,96,2,30,2,2
600,40,114,1,30,1,1
951,40,86,2,31,2,2
1000,40,89,2,28,2,2
400,70,100,1,32,1,1
750,60,74,1,30,1,1
841,48,110,2,37,2,2
700,50,130,1,38,1,1
1346,50,108,3,36,3,3
800,45,98,2,33,2,2
1250,40,125,3,30,3,3
1105,40,104,3,29,3,3
800,50,92,2,34,2,2
824,42,92,2,38,2,2
1400,42,108,3,31,3,3
1100,40,91,3,36,3,3
1111,40,103,3,31,3,3
962,40,120,2,28,2,2
729,47,122,1,34,1,1
690,40,119,1,28,1,1
1010,50,104,2,38,2,2
600,40,96,1,29,1,1
596,40,83,1,34,1,1
850,44,115,2,29,2,2
793,40,96,2,36,2,2
1442,40,123,3,38,3,3
841,40,109,2,36,2,2
975,40,97,2,31,2,2
1223,40,107,3,28,3,3
910,30,95,2,35,2,2
750,40,104,1,33,1,1
1206,40,110,3,38,3,3
900,40,103,2,37,2,2
540,50,113,1,31,1,1
550,40,110,1,38,1,1
615,40,100,1,30,1,1
984,40,108,2,37,2,2
1100,40,92,3,38,3,3
1035,48,107,2,38,2,2
950,40,98,2,30,2,2
938,44,108,2,38,2,2
586,60,111,1,34,1,1
562,40,99,1,34,1,1
673,40,91,1,38,1,1
654,50,113,1,33,1,1
1111,40,98,3,29,3,3
1282,45,121,3,32,3,3
1250,60,115,3,38,3,3
1346,40,134,3,35,3,3
1424,50,96,3,37,3,3
1161,50,121,3,34,3,3
1260,45,106,3,29,3,3
1575,40,117,3,30,3,3
758,38,126,2,28,2,2
1442,40,112,3,36,3,3
1126,40,116,3,31,3,3
1000,40,70,2,32,2,2
500,70,83,1,32,1,1
1200,50,84,3,32,3,3
565,45,82,1,33,1,1
684,45,111,1,29,1,1
774,40,94,2,37,2,2
233,60,96,1,30,1,1
975,40,101,2,30,2,2
1366,40,90,3,30,3,3
1200,40,108,3,33,3,3
1161,40,99,3,36,3,3
1026,45,85,2,38,2,2
1111,45,118,3,32,3,3
625,50,115,1,31,1,1
1200,42,119,3,30,3,3
1541,40,94,3,32,3,3
1154,40,109,3,34,3,3
1749,43,101,3,36,3,3
1000,40,96,2,31,2,2
765,45,94,2,37,2,2
790,40,115,2,34,2,2
477,60,71,1,30,1,1
1202,40,124,3,28,3,3
450,40,94,1,31,1,1
1058,40,120,3,37,3,3
318,40,67,1,36,1,1
556,40,69,1,34,1,1
958,60,98,2,28,2,2
1600,50,109,3,33,3,3
606,45,100,1,30,1,1
1200,50,99,3,28,3,3
1377,37,118,3,36,3,3
874,55,132,2,33,2,2
1250,32,98,3,33,3,3
1082,40,111,3,36,3,3
615,50,99,1,38,1,1
698,43,97,1,29,1,1
800,55,106,2,36,2,2
812,40,131,2,30,2,2
549,49,79,1,32,1,1
1539,40,112,3,32,3,3
721,40,105,1,30,1,1
815,40,114,2,31,2,2
1058,40,85,3,35,1,3
433,50,100,1,37,1,1
1000,65,93,2,29,2,2
800,50,110,2,28,2,2
766,40,109,2,35,2,2
750,43,94,1,33,1,1
550,40,77,1,37,1,1
795,52,89,2,34,2,2
723,40,102,1,30,1,1
963,40,85,2,28,2,2
1463,45,104,3,37,3,3
642,45,93,1,30,1,1
488,40,103,1,31,1,1
675,40,77,1,38,1,1
1442,40,132,3,33,3,3
560,49,112,1,32,1,1
684,45,106,1,38,1,1
1322,40,128,3,33,3,3
760,40,88,2,31,2,2
1602,60,110,3,37,3,3
1442,40,110,3,29,3,3
705,50,100,1,36,1,1
1000,40,101,2,35,2,2
852,44,89,2,32,2,2
770,40,80,2,35,2,2
1000,40,72,2,34,2,2
1682,40,115,3,37,3,3
577,55,108,1,31,1,1
1250,40,92,3,32,3,3
600,40,115,1,28,1,1
480,40,76,1,35,1,1
1000,40,93,2,29,2,2
988,48,91,2,36,2,2
440,40,84,1,30,1,1
485,40,120,1,30,1,1
705,40,89,1,36,1,1
1550,40,104,3,34,3,3
960,40,107,2,29,2,2
1000,40,100,2,32,2,2
1346,40,112,3,35,3,3
479,40,97,1,38,1,1
1346,45,60,3,31,3,3
1122,35,132,3,32,3,3
543,45,90,1,38,1,1
450,40,63,1,31,1,1
547,60,88,1,34,1,1
1634,40,94,3,36,3,3
855,45,89,2,31,2,2
1000,48,105,2,28,2,2
1602,45,111,3,31,3,3
1500,60,124,3,29,3,3
750,40,110,1,35,1,1
843,40,102,2,29,2,2
650,40,99,1,30,1,1
2137,45,102,3,30,3,3
761,48,95,2,38,2,2
345,40,84,1,31,1,1
987,38,109,2,31,2,2
1212,40,95,3,38,3,3
577,40,92,1,28,1,1
390,59,74,1,30,1,1
1500,40,123,3,32,3,3
460,40,92,1,36,1,1
945,40,87,2,38,2,2
1333,45,112,3,38,3,3
1333,45,103,3,34,3,3
700,40,74,1,36,1,1
1744,43,106,3,29,3,3
560,44,70,1,35,1,1
1122,60,102,3,32,3,3
453,50,94,1,30,1,1
1539,40,115,3,31,3,3
1154,40,117,3,35,3,3
480,40,83,1,37,1,1
808,50,101,2,38,2,2
1442,40,113,3,36,3,3
577,40,106,1,33,1,1
1333,60,106,3,30,3,3
1160,40,74,3,33,3,3
713,40,75,1,36,1,1
929,40,97,2,30,2,2
400,50,68,1,31,1,1
1241,40,83,3,33,3,3
403,45,98,1,30,1,1
940,45,102,2,30,2,2
575,40,86,1,33,1,1
450,40,79,1,36,1,1
621,43,84,1,31,1,1
441,38,74,1,30,1,1
726,45,93,1,36,1,1
600,40,127,1,28,1,1
865,40,66,2,30,2,2
1154,50,109,3,35,3,3
1386,42,109,3,34,3,3
829,40,98,2,36,2,2
827,40,105,2,30,2,2
500,44,87,1,31,1,1
700,40,82,1,30,1,1
533,30,65,1,32,1,1
890,60,92,2,32,2,2
1539,40,111,3,37,3,3
508,40,73,1,31,1,1
1354,40,119,3,35,3,3
905,40,102,2,37,2,2
926,55,64,2,38,2,2
1559,40,103,3,34,3,3
1312,40,118,3,32,3,3
923,40,118,2,35,2,2
1049,50,112,2,32,2,2
550,40,95,1,30,1,1
1190,40,119,3,34,3,3
1200,40,103,3,30,3,3
909,40,102,2,33,2,2
1746,40,131,3,33,3,3
808,40,107,2,29,2,2
2137,45,108,3,36,3,3
692,50,92,1,38,1,1
931,80,108,2,36,2,2
866,40,111,2,35,2,2
500,40,101,1,32,1,1
528,55,116,1,30,1,1
881,40,90,2,36,2,2
1026,45,125,2,28,2,2
1212,40,98,3,28,3,3
1620,38,111,3,29,3,3
737,48,103,1,30,1,1
1025,48,104,2,32,2,2
1107,40,112,3,38,3,3
625,40,73,1,31,1,1
855,40,99,2,36,2,2
1250,40,95,3,32,3,3
962,40,112,2,37,2,2
940,45,102,2,36,2,2
900,40,119,2,30,2,2
882,44,96,2,31,2,2
1710,45,118,3,38,3,3
1260,45,79,3,37,3,3
1097,50,80,3,28,3,3
1154,40,116,3,34,3,3
1000,43,69,2,35,2,2
1250,40,78,3,33,3,3
937,32,113,2,29,2,2
904,50,98,2,33,2,2
1261,40,117,3,35,3,3
950,40,96,2,35,2,2
115,50,108,1,29,1,1
800,40,115,2,38,2,2
369,40,117,1,31,1,1
855,40,109,2,36,2,2
864,40,87,2,31,2,2
850,35,109,2,31,2,2
673,40,85,1,35,1,1
800,40,105,2,37,2,2
664,40,105,1,29,1,1
1111,45,90,3,37,3,3
850,43,111,2,34,2,2
1000,40,110,2,37,2,2
875,40,92,2,29,2,2
923,40,110,2,37,2,2
1442,40,105,3,37,3,3
866,40,85,2,30,2,2
875,36,95,2,38,2,2
700,38,85,1,32,1,1
801,48,100,2,29,2,2
640,23,96,1,31,1,1
1198,32,117,3,30,3,3
889,36,116,2,28,2,2
1076,38,106,3,36,3,3
750,50,103,1,37,1,1
525,40,100,1,31,1,1
1104,54,96,3,29,3,3
553,40,67,1,30,1,1
1384,50,104,3,31,3,3
596,40,62,1,33,1,1
1133,40,106,3,36,3,3
681,40,94,1,35,1,1
925,40,75,2,30,2,2
425,40,86,1,30,1,1
692,50,95,1,34,1,1
571,40,66,1,33,1,1
817,40,101,2,32,2,2
1026,60,105,2,35,2,2
808,40,106,2,29,2,2
260,40,75,1,37,1,1
662,45,99,1,28,1,1
562,55,90,1,38,1,1
562,80,104,1,28,1,1
651,40,76,1,29,1,1
754,40,55,1,33,1,1
700,40,73,1,38,1,1
503,40,84,1,30,1,1
624,40,92,1,36,1,1
900,40,98,2,30,2,2
642,35,87,1,30,1,1
400,50,96,1,28,1,1
900,40,80,2,38,2,2
894,40,104,2,35,2,2
1282,60,96,3,32,3,3
485,40,89,1,30,1,1
1040,48,108,2,35,2,2
751,40,104,1,34,1,1
380,50,106,1,30,1,1
300,24,83,1,37,1,1
753,46,70,1,38,1,1
1070,40,91,3,30,3,3
1573,55,112,3,34,3,3
650,40,97,1,30,1,1
890,48,100,2,31,2,2
891,40,90,2,32,2,2
481,48,98,1,31,1,1
500,44,107,1,38,1,1
1473,40,110,3,36,3,3
962,50,97,2,30,2,2
1000,44,103,2,29,2,2
600,40,114,1,30,1,1
629,60,93,1,30,1,1
1562,40,97,3,32,3,3
357,70,97,1,28,1,1
960,40,83,2,32,2,2
481,40,82,1,32,1,1
645,45,93,1,35,1,1
788,40,100,2,32,2,2
644,42,101,1,33,1,1
1202,40,102,3,31,3,3
538,45,77,1,28,1,1
1000,40,107,2,35,2,2
