ID,Country,Region,DataYear,Gender,Ageyears,Height_cm,Footlength_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
151,USA,NC,2020,Male,17,180,28,1,Car,10,.462,51,Skateboarding/Rollerblading,24,Right foot,70,55,Ring finger,11,Fall,No,No,Physical education,5,10,3,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,Telepathy,Happy,Religious figure,"Arts, culture, sports"
153,USA,NC,2012,Female,17,155,24,1,Walk,12,.468,31,Basketball,24,Same length,79,81,Ring finger,6,Spring,Yes,No,Mathematics and statistics,7,8,6,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Fly,Happy,Religious figure,Religious
158,USA,NC,2017,Male,15,173,25,2,Car,18,.317,31,Running/Jogging,25,Same length,60,70,Ring finger,2,Winter,Yes,No,Mathematics and statistics,7,12,4,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,Fly,Rich,Religious figure,International aid
159,USA,NC,2015,Female,15,157,23,2,Bus,60,.402,38,None,22,Right foot,55,55,Same length,5,Fall,No,No,Music,5,9,3,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,Telepathy,Famous,Musician or singer,"Arts, culture, sports"
202,USA,NC,2018,Male,21,178,27,2,Walk,10,.317,43,Baseball/Softball,27.5,Left foot,40,55,Ring finger,8,Winter,Yes,No,Science,6,7,1,Text messaging,150,150,18,1,20,0,15,20,3,3,2,7,0,2,Telepathy,Healthy,Doctor or nurse,"Arts, culture, sports"
203,USA,NC,2015,Female,16,163,23,1,Car,10,.313,38,Baseball/Softball,21,Right foot,73,75,Ring finger,4,Spring,No,No,Mathematics and statistics,9,12,4,Text messaging,20,20,10,1,2,35,5,2,1,6,20,5,0,5,Freeze time,Happy,Musician or singer,Education/Youth development
204,USA,NC,2016,Male,14,166,27,1,Car,30,.429,38,Martial Arts,27,Same length,80,80,Same length,7,Summer,Yes,No,Physical education,8,5,2,E-mail,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Telepathy,Healthy,Musician or singer,Health
205,USA,NC,2015,Female,49,150,12,1,Car,15,4.3,28,Walking/Hiking,32,Same length,60,64,Ring finger,3,Summer,Yes,No,English,6,6,4,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,Freeze time,Healthy,Relative,Health
206,USA,NC,2020,Male,17,168,26,1,Car,10,.324,40,Martial Arts,26,Same length,92,102,Ring finger,10,Summer,No,No,Mathematics and statistics,8,6,4,Text messaging,51,46,8,0,7,8,7,0,2,4,20,10,20,3,Fly,Healthy,Religious figure,Religious
207,USA,NC,2021,Male,17,181,26,2,Car,10,.235,34,Running/Jogging,26.5,Left foot,35,37,Ring finger,4,Fall,Yes,No,Science,8,10,4,Internet chat or instant messaging,1,4,6,0,7,1,6,14,0,4,24,6,6,4,Freeze time,Happy,Other,Environment
210,USA,NC,2022,Male,17,182,30,2,Car,30,.288,51,Basketball,30,Same length,53,55,Ring finger,8,Spring,No,No,Art,9,8,4,Cell phone,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Freeze time,Healthy,Other,International aid
211,USA,NC,2013,Female,17,161,23,1,Car,15,.274,37,Basketball,23,Same length,74,75,Ring finger,7,Summer,Yes,No,Physical education,7,5,4,Text messaging,223,220,26,1,2,27,18,0,9,35,9,9,0,2,Invisibility,Happy,Sports person,Religious
212,USA,NC,2017,Male,17,180,26,1,Car,15,.416,42,Dancing,27,Same length,90,80,Index finger,1,Winter,Yes,No,Science,6,8,4,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,Telepathy,Happy,Relative,Environment
213,USA,NC,2019,Female,16,67,10,1,Car,20,.38,39,Baseball/Softball,30,Same length,40,55,Index finger,5,Spring,Yes,No,English,7,8,3,"Myspace, Facebook, other social networking sites, or blog",25,46,5,1,3,4,10,0,20,1,20,10,0,2,Telepathy,Happy,Relative,Health
214,USA,NC,2014,Male,17,172,25,2,Car,20,.444,48,Other,23,Right foot,120,100,Index finger,10,Winter,Yes,No,Social studies,7,9,2,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
215,USA,NC,2014,Female,18,171,24,1,Car,10,.482,39,Other,23,Right foot,90,90,Same length,3,Spring,No,No,Science,7,9,4,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Telepathy,Happy,Doctor or nurse,Health
216,USA,NC,2020,Male,18,182.8,9.5,1,Bus,30,.364,41,Other,28,Same length,76.2,66.04,Index finger,7,Spring,No,No,Other,6,9,5,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Freeze time,Happy,Other,Other
217,USA,NC,2021,Female,17,163,20,1,Car,15,.307,35,Gymnastics,20,Same length,76,76,Ring finger,12,Fall,Yes,No,English,6,8,3,Text messaging,15,35,4,1,28,15,6,0,30,4,55,4,0,4,Telepathy,Happy,Actor,International aid
219,USA,NC,2021,Female,18,149.7,38.1,2,Bus,15,.79,45,Tennis,38.2,Same length,55,15.2,Same length,9,Fall,No,No,History,7,9,8,Text messaging,20,40,7,6,5,168,4,3,168,54,168,24,40,2,Telepathy,Rich,Teacher,International aid
220,USA,NC,2016,Female,16,162.4,23,4,Car,15,.443,36,Walking/Hiking,24,Right foot,92,92,Same length,5,Spring,No,Yes,Mathematics and statistics,6,9,6,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,Freeze time,Happy,Doctor or nurse,Health
221,USA,NC,2021,Female,18,161,22,1,Bus,30,.384,57,Swimming,22,Same length,55,55,Same length,11,Spring,No,No,English,4,10,5,Text messaging,70,80,2,5,40,4,0,0,50,50,4,7,18,4,Telepathy,Happy,Friend,Health
222,USA,NC,2022,Male,18,179,121,1,Car,25,1.201,53,Hockey (Ice),23,Same length,9,55,Index finger,7,Summer,Yes,No,History,9,9,6,Text messaging,20,20,0,1,2,2,1,6,3,1,7,2,0,1,Telepathy,Happy,Friend,Health
224,USA,NC,2018,Female,16,170.6,25.4,3,Bus,30,.33,35,Soccer,25.4,Same length,85,70,Index finger,9,Summer,No,No,Science,6,9,4,"Myspace, Facebook, other social networking sites, or blog",25,40,40,5,8,20,8,5,10,5,12,10,16,10,Super strength,Happy,Actor,International aid
225,USA,NC,2021,Male,17,188,27,2,Bus,15,.471,56,Tennis,29,Right foot,95,105,Ring finger,5,Summer,No,Yes,Mathematics and statistics,7,7,4,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Freeze time,Healthy,Sports person,Education/Youth development
227,USA,NC,2020,Male,15,180,29,2,Bus,6,.503,32,Basketball,29,Same length,91,88,Index finger,3,Winter,No,No,Science,7,8,4,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Invisibility,Happy,Teacher,Education/Youth development
228,USA,NC,2020,Male,18,183,25,1,Car,10,.304,46,Athletics,26,Left foot,97,105,Ring finger,4,Fall,No,No,Science,7,7,6,"Myspace, Facebook, other social networking sites, or blog",18,20,1,3,12,10,29,10,10,5,5,2,0,2,Freeze time,Healthy,Relative,Environment
229,USA,NC,2017,Female,17,150,13,1,Walk,10,.746,44,Other,14,Left foot,47,49,Ring finger,7,Fall,Yes,No,Science,7,9,5,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,Fly,Happy,Doctor or nurse,International aid
230,USA,NC,2019,Female,17,163,23.5,3,Bus,15,.404,45,None,22.4,Left foot,70,730,Ring finger,8,Fall,No,No,History,6,9,4,"Myspace, Facebook, other social networking sites, or blog",30,10,4,1,2,5,6,0,2,1,1,6,0,1,Fly,Healthy,Business person,"Wildlife, animals"
231,USA,NC,2022,Female,17,162,20.23,2,Bus,10,.592,58,Tennis,20.23,Same length,55,55,Same length,8,Summer,No,No,Art,6,9,5,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Fly,Rich,Relative,International aid
233,USA,NC,2019,Male,16,188,27,1,Car,25,.491,43,Basketball,27,Same length,76,76,Same length,12,Fall,Yes,No,Computers and technology,7,9,4,Text messaging,5,7,2,0,3,1,3,1,3,1,2,1,0,1,Freeze time,Happy,Musician or singer,Education/Youth development
235,USA,NC,2020,Male,18,172,5,2,Car,4,.829,47,Other,12,Same length,12,55,Same length,11,Summer,No,No,Music,8,8,4,Other,100,10000,24,24,1,24,1,24,24,24,24,24,24,1,Invisibility,Happy,Other,"Wildlife, animals"
236,USA,NC,2022,Male,16,191,29,2,Car,8,.302,61,Martial Arts,29,Same length,83,89,Ring finger,4,Summer,No,No,Physical education,5,10,4,Text messaging,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Invisibility,Rich,Actor,Health
237,USA,NC,2014,Female,16,155,24,3,Car,20,.373,41,Soccer,23,Right foot,80,80,Same length,4,Fall,Yes,No,Mathematics and statistics,8,10,6,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Super strength,Happy,Religious figure,Religious
238,USA,NC,2019,Male,17,170,23,1,Car,7,.432,38,Golf,23,Same length,75,85,Ring finger,7,Summer,No,No,Physical education,6,9,5,Text messaging,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Telepathy,Rich,Friend,Health
239,USA,NC,2021,Male,15,169,25,2,Car,13,.335,50,None,25,Same length,71,74,Ring finger,7,Summer,No,No,Art,9,10,3,Internet chat or instant messaging,0,0,44,0,30,34,0,23,54,52,44,71,0,0,Freeze time,Happy,Friend,Other
240,USA,NC,2017,Male,17,179,28,1,Car,6,.723,50,Football (American),28,Same length,95,107,Ring finger,4,Fall,Yes,No,Physical education,7,8,4,Text messaging,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Super strength,Happy,Sports person,Religious
242,USA,NC,2018,Female,17,172,24,2,Walk,0,.487,38,Swimming,24,Same length,55,55,Index finger,6,Fall,Yes,No,Mathematics and statistics,7,9,2,Text messaging,100,100,20,0,40,0,2,0,10,20,30,0,0,0,Telepathy,Happy,Friend,International aid
243,USA,NC,2018,Female,16,161.3,14.7,2,Car,12,.362,37,Athletics,15.5,Left foot,71.12,68.58,Index finger,5,Fall,Yes,No,Art,6,8,4,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Fly,Happy,Sports person,Health
244,USA,NC,2021,Female,18,157,5,3,Bus,20,.392,48,Other,25,Same length,55,55,Same length,10,Spring,No,No,Other,4,5,4,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Telepathy,Healthy,Teacher,Health
245,USA,NC,2021,Female,17,165,24,3,Walk,15,.392,27,Walking/Hiking,24,Same length,55,55,Same length,2,Winter,No,No,Science,6,10,4,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,Fly,Rich,Community leader or elder,Environment
246,USA,NC,2016,Male,15,161,23,2,Bus,15,.5863,50,Hockey (Ice),23,Same length,69,73,Ring finger,1,Winter,No,No,Science,7,10,7,Text messaging,30,56,18,1,10,7,12,12,0,2,20,8,0,10,Freeze time,Rich,Relative,"Wildlife, animals"
247,USA,NC,2022,Male,16,178,26.67,5,Car,5,.341,36,Soccer,26.67,Same length,40,39,Ring finger,2,Winter,No,Yes,Mathematics and statistics,7.5,10,5,In person,50,250,10,2,12,5,6,7,8,11,50,7,0,2,Fly,Rich,Relative,International aid
248,USA,NC,2021,Male,17,177,27,2,Walk,5,.432,40,Tennis,28,Left foot,55,55,Index finger,2,Fall,No,No,Mathematics and statistics,7,9,4,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,Freeze time,Healthy,Coach or club leader,Environment
250,USA,NC,2020,Female,17,168,24,2,Car,5,.596,48,Soccer,24,Same length,80,70,Index finger,1,Fall,No,No,Mathematics and statistics,7,9,4,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,Telepathy,Happy,Relative,International aid
251,USA,NC,2020,Male,17,180,28,1,Car,10,.462,51,Skateboarding/Rollerblading,24,Right foot,70,55,Ring finger,11,Fall,No,No,Physical education,5,10,3,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,Telepathy,Happy,Religious figure,"Arts, culture, sports"
252,USA,NC,2018,Female,17,167,24,2,Car,7,.356,37,Bowling,24,Same length,70,75,Ring finger,9,Winter,No,No,Science,4,10,3,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,Freeze time,Happy,Friend,Health
253,USA,NC,2012,Female,17,155,24,1,Walk,12,.468,31,Basketball,24,Same length,79,81,Ring finger,6,Spring,Yes,No,Mathematics and statistics,7,8,6,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Fly,Happy,Religious figure,Religious
254,USA,NC,2016,Female,17,163,20,1,Car,4,.921,56,Other,26,Same length,32,27,Index finger,6,Fall,No,No,Mathematics and statistics,7,10,4,In person,100,140,20,1,10,5,8,0,6,2,6,5,15,3,Telepathy,Healthy,Religious figure,International aid
256,USA,NC,2021,Female,17,165,13.97,2,Bus,60,.416,47,Soccer,22,Same length,55,55,Ring finger,7,Summer,Yes,No,Other,7,11,7,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Fly,Happy,Musician or singer,"Wildlife, animals"
257,USA,NC,2019,Male,16,173,25,2,Car,10,.387,37,Other,25,Same length,76,73,Index finger,6,Summer,No,No,Computers and technology,7,9,3,Internet chat or instant messaging,10,6,6,1,10,5,0,10,7,3,16,5,7,4,Freeze time,Happy,Relative,International aid
260,USA,NC,2013,Male,14,166,29,2,Bus,30,2,26,Soccer,28,Right foot,100,110,Ring finger,7,Summer,No,No,Physical education,9,8,5,In person,7,8,35,2,6,35,6,14,7,7,0,21,0,7,Freeze time,Rich,Relative,Other
262,USA,NC,2021,Male,17,185,28,1,Car,12,.73,44,Swimming,28,Same length,80,80,Same length,10,Fall,No,No,Physical education,5,6,6,Text messaging,20,20,7,5,1,3,8,10,0,17,19,1,24,5,Super strength,Happy,Musician or singer,Health
263,USA,NC,2022,Female,16,157,22,3,Bus,15,.977,47,Swimming,22,Same length,69,66,Index finger,12,Summer,Yes,No,Science,6,9,4,Text messaging,23,196,7,0,10,3,3,2,8,2,10,8,0,2,Freeze time,Famous,Politician,International aid
264,USA,NC,2018,Male,15,170.2,26,7,Car,10,.412,41,Basketball,26,Same length,80,85,Ring finger,2,Summer,Yes,No,Physical education,6,9,4,"Myspace, Facebook, other social networking sites, or blog",75,125,6,3,5,9,16,2,2,2,7,5,0,3,Fly,Rich,Relative,Health
301,USA,NC,2022,Female,16,175,28,1,Bus,4,.364,41,Other,28,Same length,70,70,Same length,1,Summer,No,No,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Fly,Happy,Relative,Religious
305,USA,NC,2015,Female,49,150,12,1,Car,15,4.3,28,Walking/Hiking,32,Same length,60,64,Ring finger,3,Summer,Yes,No,English,6,6,4,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,Freeze time,Healthy,Relative,Health
308,USA,NC,2017,Male,17,177,26,1,Walk,0,.365,43,Baseball/Softball,25,Right foot,77.5,80,Ring finger,8,Spring,No,No,Computers and technology,6,11,4,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,Telepathy,Rich,Other,International aid
309,USA,NC,2020,Male,16,180,30,1,Bus,10,.37,70,Athletics,30,Same length,64,51,Index finger,3,Spring,Yes,Yes,History,8,6,4,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Telepathy,Famous,Relative,Education/Youth development
314,USA,NC,2014,Male,17,172,25,2,Car,20,.444,48,Other,23,Right foot,120,100,Index finger,10,Winter,Yes,No,Social studies,7,9,2,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
316,USA,NC,2020,Male,18,182.8,9.5,1,Bus,30,.364,41,Other,28,Same length,76.2,66.04,Index finger,7,Spring,No,No,Other,6,9,5,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Freeze time,Happy,Other,Other
319,USA,NC,2021,Female,18,149.7,38.1,2,Bus,15,.79,45,Tennis,38.2,Same length,55,15.2,Same length,9,Fall,No,No,History,7,9,8,Text messaging,20,40,7,6,5,168,4,3,168,54,168,24,40,2,Telepathy,Rich,Teacher,International aid
320,USA,NC,2016,Female,16,162.4,23,4,Car,15,.443,36,Walking/Hiking,24,Right foot,92,92,Same length,5,Spring,No,Yes,Mathematics and statistics,6,9,6,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,Freeze time,Happy,Doctor or nurse,Health
323,USA,NC,2021,Male,17,177,33.02,1,Car,25,.334,45,Football (American),33.02,Same length,71.12,76.2,Ring finger,10,Fall,Yes,No,Science,6,9,2,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Fly,Happy,Relative,"Wildlife, animals"
328,USA,NC,2020,Male,18,183,25,1,Car,10,.304,46,Athletics,26,Left foot,97,105,Ring finger,4,Fall,No,No,Science,7,7,6,"Myspace, Facebook, other social networking sites, or blog",18,20,1,3,12,10,29,10,10,5,5,2,0,2,Freeze time,Healthy,Relative,Environment
332,USA,NC,2021,Female,16,154.9,22,2,Bus,15,.447,48,Skateboarding/Rollerblading,22,Same length,70,70,Same length,3,Fall,No,No,Science,7.5,7,6,In person,20,25,3,0,10,10,0,1,5,2,12,3,0,2,Telepathy,Happy,Other,Environment
336,USA,NC,2022,Male,16,191,29,2,Car,8,.302,61,Martial Arts,29,Same length,83,89,Ring finger,4,Summer,No,No,Physical education,5,10,4,Text messaging,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Invisibility,Rich,Actor,Health
337,USA,NC,2014,Female,16,155,24,3,Car,20,.373,41,Soccer,23,Right foot,80,80,Same length,4,Fall,Yes,No,Mathematics and statistics,8,10,6,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Super strength,Happy,Religious figure,Religious
338,USA,NC,2019,Male,17,170,23,1,Car,7,.432,38,Golf,23,Same length,75,85,Ring finger,7,Summer,No,No,Physical education,6,9,5,Text messaging,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Telepathy,Rich,Friend,Health
340,USA,NC,2017,Male,17,179,28,1,Car,6,.723,50,Football (American),28,Same length,95,107,Ring finger,4,Fall,Yes,No,Physical education,7,8,4,Text messaging,100,250,12,0,4,15,7,6,8,8,5,10,15,2,Super strength,Happy,Sports person,Religious
352,USA,NC,2018,Female,17,167,24,2,Car,7,.356,37,Bowling,24,Same length,70,75,Ring finger,9,Winter,No,No,Science,4,10,3,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,Freeze time,Happy,Friend,Health
358,USA,NC,2017,Male,15,173,25,2,Car,18,.317,31,Running/Jogging,25,Same length,60,70,Ring finger,2,Winter,Yes,No,Mathematics and statistics,7,12,4,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,Fly,Rich,Religious figure,International aid
361,USA,NC,2016,Female,16,160,23,1,Car,7,.781,59,None,22.75,Right foot,79,83,Ring finger,5,Summer,No,No,History,6.5,8,5,Text messaging,500,500,16,3,28,21,3,3,28,49,49,7,20,10,Invisibility,Rich,Friend,Health
401,USA,NC,2022,Female,16,175,28,1,Bus,4,.364,41,Other,28,Same length,70,70,Same length,1,Summer,No,No,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Fly,Happy,Relative,Religious
404,USA,NC,2016,Male,14,166,27,1,Car,30,.429,38,Martial Arts,27,Same length,80,80,Same length,7,Summer,Yes,No,Physical education,8,5,2,E-mail,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Telepathy,Healthy,Musician or singer,Health
405,USA,NC,2015,Female,49,150,12,1,Car,15,4.3,28,Walking/Hiking,32,Same length,60,64,Ring finger,3,Summer,Yes,No,English,6,6,4,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,Freeze time,Healthy,Relative,Health
409,USA,NC,2020,Male,16,180,30,1,Bus,10,.37,70,Athletics,30,Same length,64,51,Index finger,3,Spring,Yes,Yes,History,8,6,4,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Telepathy,Famous,Relative,Education/Youth development
410,USA,NC,2022,Male,17,182,30,2,Car,30,.288,51,Basketball,30,Same length,53,55,Ring finger,8,Spring,No,No,Art,9,8,4,Cell phone,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Freeze time,Healthy,Other,International aid
411,USA,NC,2013,Female,17,161,23,1,Car,15,.274,37,Basketball,23,Same length,74,75,Ring finger,7,Summer,Yes,No,Physical education,7,5,4,Text messaging,223,220,26,1,2,27,18,0,9,35,9,9,0,2,Invisibility,Happy,Sports person,Religious
412,USA,NC,2017,Male,17,180,26,1,Car,15,.416,42,Dancing,27,Same length,90,80,Index finger,1,Winter,Yes,No,Science,6,8,4,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,Telepathy,Happy,Relative,Environment
414,USA,NC,2014,Male,17,172,25,2,Car,20,.444,48,Other,23,Right foot,120,100,Index finger,10,Winter,Yes,No,Social studies,7,9,2,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
418,USA,NC,2022,Male,17,170,26,2,Car,15,.306,67,Hockey (Ice),25,Right foot,40,55,Ring finger,7,Summer,Yes,No,Music,7,15,5,Text messaging,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Invisibility,Happy,Musician or singer,Religious
421,USA,NC,2021,Female,18,161,22,1,Bus,30,.384,57,Swimming,22,Same length,55,55,Same length,11,Spring,No,No,English,4,10,5,Text messaging,70,80,2,5,40,4,0,0,50,50,4,7,18,4,Telepathy,Happy,Friend,Health
423,USA,NC,2021,Male,17,177,33.02,1,Car,25,.334,45,Football (American),33.02,Same length,71.12,76.2,Ring finger,10,Fall,Yes,No,Science,6,9,2,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Fly,Happy,Relative,"Wildlife, animals"
424,USA,NC,2018,Female,16,170.6,25.4,3,Bus,30,.33,35,Soccer,25.4,Same length,85,70,Index finger,9,Summer,No,No,Science,6,9,4,"Myspace, Facebook, other social networking sites, or blog",25,40,40,5,8,20,8,5,10,5,12,10,16,10,Super strength,Happy,Actor,International aid
427,USA,NC,2020,Male,15,180,29,2,Bus,6,.503,32,Basketball,29,Same length,91,88,Index finger,3,Winter,No,No,Science,7,8,4,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Invisibility,Happy,Teacher,Education/Youth development
429,USA,NC,2017,Female,17,150,13,1,Walk,10,.746,44,Other,14,Left foot,47,49,Ring finger,7,Fall,Yes,No,Science,7,9,5,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,Fly,Happy,Doctor or nurse,International aid
431,USA,NC,2022,Female,17,162,20.23,2,Bus,10,.592,58,Tennis,20.23,Same length,55,55,Same length,8,Summer,No,No,Art,6,9,5,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Fly,Rich,Relative,International aid
432,USA,NC,2021,Female,16,154.9,22,2,Bus,15,.447,48,Skateboarding/Rollerblading,22,Same length,70,70,Same length,3,Fall,No,No,Science,7.5,7,6,In person,20,25,3,0,10,10,0,1,5,2,12,3,0,2,Telepathy,Happy,Other,Environment
441,USA,NC,2020,Female,17,165,22,2,Car,7,.485,39,Soccer,22,Same length,66,68,Ring finger,1,Fall,No,No,Science,6,11,4,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,Telepathy,Happy,Relative,Environment
