wage,KWW,educ,exper,age,married,urban,sibs
1730,41,3,12,37,1,1,1
449,20,2,7,30,0,1,1
1500,29,2,10,34,1,1,2
937,36,2,16,35,1,1,3
978,36,2,19,36,1,1,3
1031,43,3,14,33,0,1,3
1272,39,2,10,30,1,1,3
1136,36,3,16,34,1,1,2
375,29,2,12,30,1,0,3
1082,40,2,11,29,1,1,2
930,44,3,10,31,0,1,3
622,48,3,12,33,1,1,0
769,45,3,7,38,0,1,2
1924,40,3,17,38,1,1,1
1154,35,3,18,37,1,1,1
1070,41,3,4,32,1,1,0
850,26,2,7,28,1,1,1
490,33,3,7,31,0,1,2
1000,47,3,15,35,1,1,3
865,38,3,11,31,1,1,3
1602,47,3,14,37,1,1,1
898,41,3,7,35,0,1,3
906,40,3,16,37,1,1,3
445,23,2,15,32,0,1,2
1075,31,2,17,33,1,1,3
1016,18,2,14,37,1,1,3
1079,33,2,18,36,1,1,3
654,49,3,12,34,1,1,1
781,33,2,8,30,1,1,2
1924,48,3,16,37,1,1,0
1202,40,3,15,37,1,1,3
905,41,3,11,36,1,1,3
817,27,3,10,31,1,0,1
812,42,2,10,29,0,1,3
577,43,3,6,30,1,1,2
1011,43,2,20,37,1,1,0
2067,41,3,12,33,1,1,2
912,32,3,11,30,1,1,2
600,39,2,8,30,1,1,3
400,43,2,12,32,1,1,3
1202,40,2,18,37,1,1,0
538,45,3,5,34,1,1,2
841,37,3,13,37,0,1,1
700,29,3,14,38,1,1,1
800,31,2,16,33,1,0,3
1250,27,3,9,30,1,1,3
1105,29,3,5,29,1,1,3
475,33,3,12,30,0,1,3
658,34,3,11,30,1,1,2
1442,33,3,6,29,1,1,2
1400,38,3,7,31,1,1,2
1038,42,2,20,36,1,0,3
962,25,3,6,28,1,0,3
690,35,2,9,28,1,1,1
596,36,2,16,34,1,0,3
850,37,2,11,29,1,1,3
670,27,2,9,29,1,1,3
793,43,2,17,36,1,0,3
1442,42,3,14,38,1,0,2
876,35,3,10,29,1,1,2
1223,34,2,7,28,1,0,1
900,38,2,15,37,1,0,3
540,33,2,12,31,1,0,3
615,31,3,9,30,1,0,3
909,39,3,6,31,1,1,2
984,39,3,17,37,1,1,3
1027,41,2,16,35,1,1,3
1000,41,3,10,33,1,0,0
465,33,3,10,29,1,1,3
1100,37,3,21,38,1,1,3
641,44,3,9,37,1,1,1
1035,42,2,21,38,1,1,1
1212,33,3,9,32,0,1,3
950,40,2,11,30,1,1,3
1250,37,3,8,30,1,1,3
586,37,3,6,34,1,0,3
673,29,2,7,38,1,0,0
654,38,3,1,33,1,0,1
1111,32,3,10,29,1,1,3
1282,39,3,7,32,1,1,2
1250,40,2,19,38,1,1,1
1346,42,3,15,35,1,1,2
1424,47,3,15,37,1,1,2
583,29,3,9,30,1,1,2
1575,28,2,13,30,1,1,3
758,42,3,10,28,0,1,2
1442,42,2,19,36,1,1,3
489,47,3,20,38,1,1,2
1000,18,2,12,32,0,1,3
500,20,2,13,32,1,1,3
684,25,3,7,29,1,1,3
975,33,3,12,30,1,0,3
1366,35,2,13,30,1,1,3
700,38,3,10,29,1,1,1
1200,29,2,16,33,1,1,3
1161,43,3,16,36,1,1,0
729,31,2,16,34,1,1,3
1026,46,2,4,38,1,1,1
1111,43,3,11,32,1,1,3
625,31,2,12,31,1,1,2
1200,28,3,11,30,1,1,3
1541,39,2,8,32,1,1,3
1154,42,3,12,34,1,1,0
310,37,3,10,33,0,0,2
938,39,3,15,33,1,0,3
940,25,2,13,32,1,1,3
1202,23,3,11,28,1,1,2
1000,40,2,15,37,1,1,3
318,35,2,16,36,1,1,3
958,42,2,11,28,1,1,0
511,25,2,13,30,1,1,3
1411,40,3,11,32,1,1,1
1522,37,2,15,37,1,0,3
1377,48,3,15,36,1,1,2
874,37,3,8,33,1,0,2
625,26,3,11,30,1,1,3
1250,40,2,17,33,1,1,0
1082,44,3,20,36,1,1,3
693,36,2,18,38,1,0,3
615,49,3,16,38,1,0,2
698,33,2,10,29,1,1,2
1000,32,2,16,34,1,1,1
549,23,2,11,32,0,0,3
923,30,3,9,33,1,1,3
721,22,2,11,30,1,0,3
600,36,2,20,38,1,0,3
1100,41,2,18,37,1,1,2
962,46,2,15,30,1,1,2
940,20,2,9,29,1,0,2
1000,32,2,11,29,1,1,3
500,26,3,14,32,1,0,3
800,35,3,8,28,1,1,3
750,38,3,12,33,1,0,1
1039,49,3,12,34,1,1,1
400,36,2,12,32,1,1,3
850,35,2,16,37,1,1,1
1162,39,2,11,37,1,1,3
1199,28,3,13,30,1,1,3
963,32,3,9,28,1,1,3
802,26,2,13,29,1,1,3
642,18,2,12,30,1,1,1
488,40,3,5,31,1,1,1
1400,34,2,15,36,1,1,2
940,41,3,10,31,1,1,2
675,42,2,20,38,1,1,3
1442,39,3,8,33,1,1,3
560,37,3,13,32,1,0,3
950,26,3,8,32,1,1,1
684,45,3,16,38,1,1,1
1634,48,2,18,38,1,1,3
417,30,2,8,30,0,1,3
666,28,2,16,34,1,1,3
760,34,2,12,31,1,1,2
1154,32,2,14,29,1,1,2
1602,45,3,14,37,1,1,3
1000,36,2,16,35,1,1,1
852,36,2,13,32,1,1,3
770,25,2,16,35,1,1,1
1682,48,3,10,37,1,1,1
577,37,3,8,29,0,1,1
1250,42,3,10,32,0,1,1
480,29,2,17,35,0,1,3
440,23,2,11,30,1,1,3
705,32,2,19,36,1,1,0
1550,47,2,16,34,1,0,3
1000,42,2,16,32,1,1,2
625,40,3,4,36,1,0,3
1346,39,3,14,35,1,1,0
1346,34,3,8,31,1,1,2
1122,45,3,13,32,1,1,2
586,41,2,18,35,1,1,2
462,24,2,6,29,1,0,3
1634,39,3,18,36,1,1,2
1282,48,3,4,32,1,1,3
1200,42,3,7,33,1,1,2
1053,33,2,18,37,1,0,1
1000,39,2,11,28,1,0,0
900,27,2,18,34,0,1,2
1500,20,3,6,29,1,0,2
750,45,3,13,35,1,1,2
843,32,3,8,29,1,0,1
409,26,2,17,38,0,0,0
650,36,2,13,30,1,0,1
2137,35,3,8,30,1,0,0
761,44,2,14,38,1,1,1
769,37,3,8,35,0,1,0
345,28,2,7,31,1,1,2
495,30,2,6,31,1,1,2
1212,36,2,6,38,1,0,3
390,26,3,10,30,1,1,3
583,24,2,9,30,1,1,2
460,22,2,16,36,1,1,3
945,41,2,12,38,1,1,2
1442,39,3,9,31,1,1,1
1333,50,3,14,38,1,1,1
1500,41,3,8,33,0,1,1
1333,30,3,7,34,1,1,3
2162,48,3,10,32,1,1,1
400,34,2,14,32,1,1,3
1015,31,2,15,32,1,1,3
630,30,3,14,32,1,0,0
779,30,2,14,37,1,1,3
377,32,2,9,36,0,1,1
560,34,2,16,35,1,1,2
1122,54,3,7,32,1,1,2
1386,38,2,17,37,1,1,1
1539,38,3,7,31,1,1,2
1154,38,3,11,35,1,1,3
962,45,3,15,37,1,1,3
722,36,3,8,38,0,1,1
808,44,3,8,38,1,0,3
1091,31,3,13,37,1,1,3
350,41,2,16,33,0,1,1
577,43,3,11,33,0,1,3
915,36,2,17,37,1,1,1
1105,32,3,9,30,0,1,3
713,25,2,5,36,1,1,3
1065,40,2,21,36,1,1,1
940,30,3,15,30,1,1,2
812,20,2,17,34,1,1,2
450,23,2,20,36,1,1,3
441,24,2,12,30,1,0,3
625,25,3,6,33,1,0,3
500,18,2,21,38,1,1,3
393,37,2,15,38,1,1,1
865,30,2,10,30,1,1,3
1154,46,3,10,35,1,1,2
865,44,3,4,34,1,1,3
700,26,2,13,31,1,0,3
900,37,3,12,31,1,1,2
829,33,2,15,36,1,1,3
1000,34,2,17,36,1,1,3
827,29,3,7,30,1,1,2
700,35,3,10,30,1,1,3
1710,39,3,7,32,1,1,1
533,21,2,5,32,0,1,3
890,20,3,9,32,1,1,1
3078,23,3,11,29,1,1,2
1143,40,2,21,38,1,1,3
990,23,2,16,34,1,1,2
800,37,3,14,38,1,1,0
1049,45,3,6,32,1,0,3
550,20,2,4,30,0,0,3
1190,38,3,4,34,1,1,0
583,35,3,10,37,1,0,2
1200,27,3,5,30,1,1,1
1746,41,3,9,33,1,1,3
692,49,3,9,38,1,1,0
931,40,3,4,36,1,1,3
812,46,3,11,34,1,1,1
1384,48,3,12,37,1,1,1
881,41,2,4,36,1,0,2
1026,33,2,11,28,1,1,3
1000,35,3,6,33,1,1,2
737,37,2,7,30,1,1,3
1699,19,2,10,29,0,1,2
1025,30,3,6,32,1,1,2
720,39,3,1,29,1,1,3
855,44,2,19,36,1,1,1
1250,23,2,12,32,1,1,2
900,35,2,6,28,0,1,1
1924,49,3,6,38,1,1,1
1874,37,2,22,38,1,1,3
1573,28,2,5,30,1,1,3
882,34,2,15,31,1,0,3
1710,40,3,12,38,1,1,1
1260,39,2,19,37,1,0,3
751,42,2,9,38,1,0,1
1001,36,3,11,33,1,0,3
1154,42,3,11,34,0,0,2
1000,31,2,15,35,1,1,3
1211,33,2,13,31,1,1,3
872,30,3,7,29,1,1,3
1084,38,3,17,37,1,1,1
1058,40,3,13,34,1,1,0
800,38,2,20,38,1,0,3
1924,42,3,14,36,1,0,0
1025,30,3,9,30,1,0,3
800,42,3,12,37,1,0,3
884,40,3,9,35,1,1,3
664,30,2,8,29,1,1,3
1111,47,2,18,37,1,1,3
850,38,3,8,34,1,1,3
875,32,2,8,29,0,1,3
923,39,3,15,37,1,0,2
788,20,2,10,28,1,1,3
950,31,2,23,38,1,1,3
1442,42,2,9,37,1,1,3
866,26,2,11,30,1,0,3
875,22,2,16,38,0,0,3
2308,42,3,8,38,1,0,3
721,32,2,8,29,1,1,3
1500,38,3,13,32,1,1,3
1050,31,3,4,31,1,1,2
640,39,2,7,31,0,1,3
1198,39,3,7,30,1,1,1
390,38,2,4,32,1,1,1
1127,45,2,17,36,1,1,1
855,41,3,6,33,1,0,3
425,34,3,8,36,0,0,0
596,26,2,16,33,1,0,3
1133,44,3,13,36,1,0,1
681,24,2,18,35,0,1,3
600,15,2,20,36,1,0,0
661,25,3,8,29,0,0,3
925,27,2,12,30,1,0,2
550,34,2,14,31,1,0,0
425,17,2,7,30,1,0,3
340,41,3,4,31,1,1,3
692,21,2,16,34,1,1,2
571,20,2,15,33,1,0,3
817,38,3,11,32,1,1,1
616,41,2,16,35,1,1,3
1026,34,3,12,35,1,1,3
788,42,2,13,36,1,1,3
850,34,2,6,33,1,1,1
900,40,2,10,38,1,1,3
260,35,2,21,37,1,0,3
562,46,3,4,38,1,0,1
562,30,2,11,28,1,0,1
357,37,3,5,30,1,1,3
1009,37,3,11,32,1,0,0
651,30,2,11,29,1,1,3
750,28,2,14,32,1,0,3
754,23,2,13,33,1,0,2
700,23,2,17,38,1,0,3
937,37,2,14,32,1,0,1
624,40,2,18,36,1,0,2
900,36,3,1,30,1,0,3
540,25,2,12,29,1,0,3
513,40,3,8,33,1,0,3
1282,24,3,7,32,1,1,3
485,24,2,10,30,0,0,3
325,39,2,11,29,1,0,1
1040,36,2,16,35,1,1,3
380,28,2,15,30,1,0,2
1065,39,3,10,34,1,1,2
1070,42,2,13,30,1,1,1
890,40,2,4,31,1,0,0
520,28,2,15,31,1,0,0
891,36,2,16,32,1,0,3
481,26,2,14,31,0,1,3
500,40,2,21,38,1,0,2
1562,28,3,7,32,1,1,3
960,25,3,14,32,1,1,3
664,30,3,10,34,1,1,3
520,28,3,6,30,1,0,0
1202,32,3,10,31,1,1,3
538,22,2,12,28,1,0,3
1000,32,2,17,35,1,0,3
