wage,hours,IQ,KWW,married,urban,sibs,famses
300,24,83,45,1,1,3,1
753,46,70,34,1,1,3,1
1065,65,104,39,1,1,2,3
1070,40,91,42,1,1,1,3
1573,55,112,42,1,1,1,3
891,40,90,36,1,0,3,2
570,50,101,43,1,1,2,1
803,40,120,35,1,1,3,2
1000,44,103,37,1,1,0,2
600,40,114,36,1,1,2,1
450,40,95,31,1,0,2,1
357,70,97,34,1,0,1,1
960,40,83,25,1,1,3,2
566,45,104,46,1,0,1,1
481,40,82,27,1,0,2,1
1442,40,113,45,1,1,2,3
788,40,100,23,1,0,3,2
477,45,100,33,1,0,3,1
1202,40,102,32,1,1,3,3
