wage,hours,IQ,KWW,educ,married,urban
1201,50,98,38,2,1,0
543,45,90,31,3,1,1
450,40,63,26,2,1,1
586,56,98,41,2,1,1
705,40,76,32,2,1,1
1282,45,97,48,3,1,1
556,40,127,44,3,1,1
1200,40,109,42,3,1,1
1053,40,90,33,2,1,0
1602,45,111,40,3,1,0
1500,60,124,20,3,1,0
1682,50,107,41,3,1,1
843,40,102,32,3,1,0
409,40,93,26,2,0,0
1004,40,81,36,2,1,0
650,40,99,36,2,1,0
769,40,98,37,3,0,1
495,40,88,30,2,1,1
2500,60,82,41,2,1,0
1212,40,95,36,2,1,0
1500,40,123,43,3,1,1
1333,45,103,30,3,1,1
2162,40,124,48,3,1,1
797,41,89,38,2,1,0
400,40,88,34,2,1,1
1744,43,106,41,3,1,1
630,40,103,30,3,1,0
445,40,91,40,2,1,0
779,40,85,30,2,1,1
377,40,83,32,2,0,1
1122,60,102,54,3,1,1
1386,40,97,38,2,1,1
1539,40,115,38,3,1,1
1154,40,117,38,3,1,1
962,50,105,45,3,1,1
808,50,101,44,3,1,0
1442,40,113,36,3,1,1
1091,50,88,31,3,1,1
350,40,93,41,2,0,1
1026,45,113,27,3,1,1
577,40,106,43,3,0,1
1333,60,106,38,3,1,1
915,55,114,36,2,1,1
1105,40,119,32,3,0,1
1000,40,89,40,2,1,1
1160,40,74,18,2,1,1
1001,34,77,22,2,1,1
713,40,75,25,2,1,1
929,40,97,28,3,1,1
400,50,68,35,2,1,1
403,45,98,37,2,1,1
621,43,84,24,2,1,0
726,45,93,32,2,1,0
500,40,69,18,2,1,1
600,40,127,44,2,0,0
962,40,97,42,2,1,0
1386,42,109,43,3,1,0
732,40,104,36,2,1,1
865,40,85,44,3,1,1
700,40,81,26,2,1,0
1300,40,78,40,3,1,1
829,40,98,33,2,1,1
827,40,105,29,3,1,1
500,44,87,25,3,1,1
1155,40,117,25,3,1,1
950,55,85,30,3,0,1
700,40,82,35,3,1,1
533,30,65,21,2,0,1
508,40,73,38,2,1,1
1354,40,119,49,3,0,0
1143,35,97,40,2,1,1
1250,44,96,32,2,1,1
905,40,102,31,2,1,0
1559,40,103,32,2,1,1
923,40,118,36,3,1,1
800,25,75,37,3,1,1
583,48,94,35,3,1,0
797,55,90,36,3,1,1
1371,40,128,50,3,1,0
1270,40,84,40,2,1,1
1832,40,97,38,2,1,1
1746,40,131,41,3,1,1
520,40,126,23,3,1,1
931,80,108,40,3,1,1
812,45,115,46,3,1,1
866,40,111,44,3,1,1
500,40,101,31,3,1,0
1384,50,114,48,3,1,1
528,55,116,40,3,1,1
1602,60,124,36,3,1,1
1000,40,121,35,3,1,1
1699,40,96,19,2,0,1
1699,40,100,40,2,1,1
1107,40,112,38,2,1,1
1250,40,95,23,2,1,1
900,40,110,35,2,0,1
1874,48,64,37,2,1,1
900,40,119,39,3,1,0
1710,45,118,40,3,1,1
1260,45,79,39,2,1,0
751,40,96,42,2,1,0
1250,40,78,36,2,1,1
857,65,99,41,2,1,1
1211,27,92,33,2,1,1
937,32,113,23,3,1,1
904,50,98,29,3,1,1
872,45,115,30,3,1,1
950,40,96,38,2,1,1
673,40,92,34,3,1,1
800,40,115,38,2,1,0
1924,40,105,42,3,1,0
1092,44,110,34,3,1,1
1025,40,110,30,3,1,0
800,40,105,42,3,1,0
884,40,108,40,3,1,1
1200,40,79,32,3,1,1
664,40,105,30,2,1,1
1111,45,90,47,2,1,1
850,43,111,38,3,1,1
866,40,85,26,2,1,0
680,40,86,35,2,0,0
693,40,68,38,2,1,0
2308,40,116,42,3,1,0
1500,40,101,38,3,1,1
801,48,100,30,3,1,1
889,36,116,37,2,1,1
1127,40,98,45,2,1,1
525,40,100,22,3,1,0
1104,54,96,39,2,1,0
1384,50,104,42,3,1,0
370,32,73,31,2,1,0
402,40,76,28,2,1,1
418,40,76,26,2,1,0
950,40,81,29,2,1,0
600,40,87,15,2,1,0
925,40,75,27,2,1,0
606,40,86,19,2,1,0
425,40,86,17,2,1,0
340,50,104,41,3,1,1
692,50,95,21,2,1,1
987,40,96,23,2,1,0
616,55,104,41,2,1,1
1026,60,105,34,3,1,1
808,40,106,34,2,1,1
808,50,101,34,3,1,1
788,40,96,42,2,1,1
850,40,105,34,2,1,1
1418,45,102,44,2,1,1
260,40,75,35,2,1,0
562,55,90,46,3,1,0
357,70,115,37,3,1,1
1009,40,118,37,3,1,0
1442,40,108,40,2,1,1
651,40,76,30,2,1,1
754,40,55,23,2,1,0
503,40,84,14,2,0,1
937,40,104,37,2,1,0
624,40,92,40,2,1,0
750,40,83,27,2,1,0
540,40,70,25,2,1,0
642,35,87,26,3,1,0
400,50,96,38,3,0,0
513,40,104,40,3,1,0
894,40,104,35,3,1,0
1282,60,96,24,3,1,1
485,40,89,24,2,0,0
769,45,105,29,2,1,0
618,40,84,39,3,0,1
380,50,106,28,2,1,0
300,24,83,45,2,1,1
1065,65,104,39,3,1,1
700,45,99,40,2,1,0
494,40,74,30,2,1,0
890,48,100,40,2,1,0
520,40,86,28,2,1,0
891,40,90,36,2,1,0
500,44,107,40,2,1,0
1473,40,110,48,3,1,0
1000,44,103,37,2,1,1
600,40,114,36,3,1,1
629,60,93,32,2,1,0
481,40,82,27,2,1,0
1442,40,113,45,3,1,1
645,45,93,39,2,1,0
1202,40,102,32,3,1,1
873,44,109,25,2,1,0
