wage,KWW,degree,exper,age,urban,brthord,meduc,feduc
1050,37,3,7,37,1,2,2,2
1079,33,2,18,36,1,3,3,3
654,49,3,12,34,1,1,1,1
1924,48,3,16,37,1,3,3,3
666,34,3,8,32,1,1,1,1
817,27,3,10,31,0,2,2,2
812,42,2,10,29,1,2,2,2
577,43,3,6,30,1,1,1,1
1011,43,2,20,37,1,2,2,2
1155,39,2,14,34,1,3,3,3
1350,37,2,17,35,0,3,3,3
796,31,3,16,37,1,2,2,2
754,31,2,13,30,1,1,1,1
714,32,2,17,37,0,1,1,1
912,32,3,11,30,1,2,2,2
600,39,2,8,30,1,1,1,1
1151,41,2,18,38,1,3,3,3
841,40,2,15,31,1,2,2,2
1175,38,2,17,34,1,3,3,3
1442,38,2,16,33,1,3,3,3
750,23,2,13,30,1,1,1,1
841,37,3,13,37,1,2,2,2
1250,27,3,9,30,1,3,3,3
1105,29,3,5,29,1,3,3,3
962,33,2,18,36,1,2,2,2
721,38,3,9,30,1,1,1,1
800,28,2,18,34,1,2,2,2
824,37,2,19,38,1,2,2,2
1442,33,3,6,29,1,3,3,3
1038,42,2,20,36,0,2,2,2
668,29,2,11,29,0,1,1,1
1000,38,3,9,30,1,2,2,2
523,37,3,9,30,0,1,1,1
729,40,3,6,34,1,1,1,1
690,35,2,9,28,1,1,1,1
596,36,2,16,34,0,1,1,1
876,35,3,10,29,1,2,2,2
841,45,3,13,36,0,2,2,2
975,39,3,8,31,1,2,2,2
750,36,2,15,33,0,1,1,1
745,40,3,17,36,0,1,1,1
900,38,2,15,37,0,2,2,2
1170,45,3,9,32,1,3,3,3
550,35,3,15,38,0,1,1,1
769,34,2,18,36,0,2,2,2
984,39,3,17,37,1,2,2,2
879,43,2,17,35,1,2,2,2
1027,41,2,16,35,1,2,2,2
1212,33,3,9,32,1,3,3,3
950,40,2,11,30,1,2,2,2
693,29,2,7,28,0,1,1,1
562,25,2,18,34,0,1,1,1
375,24,2,12,30,0,1,1,1
654,38,3,1,33,0,1,1,1
692,34,2,17,35,0,1,1,1
1111,32,3,10,29,1,3,3,3
1346,42,3,15,35,1,3,3,3
1424,47,3,15,37,1,3,3,3
854,38,3,8,29,1,2,2,2
888,36,3,9,32,1,2,2,2
1260,37,2,5,29,1,3,3,3
947,41,3,8,35,0,2,2,2
758,42,3,10,28,1,2,2,2
1442,42,2,19,36,1,3,3,3
1000,18,2,12,32,1,2,2,2
1200,13,2,13,32,1,3,3,3
1920,32,2,13,31,0,3,3,3
684,25,3,7,29,1,1,1,1
774,33,2,20,37,0,2,2,2
975,33,3,12,30,0,2,2,2
1366,35,2,13,30,1,3,3,3
729,31,2,16,34,1,1,1,1
1026,46,2,4,38,1,2,2,2
1200,28,3,11,30,1,3,3,3
1154,42,3,12,34,1,3,3,3
610,21,2,14,30,0,1,1,1
1749,28,2,16,36,0,3,3,3
765,38,2,17,37,0,2,2,2
790,34,2,15,34,0,2,2,2
818,41,2,16,38,0,2,2,2
938,39,3,15,33,0,2,2,2
350,24,2,14,32,1,1,1,1
940,25,2,13,32,1,2,2,2
1202,23,3,11,28,1,3,3,3
450,29,3,9,31,0,1,1,1
1000,40,2,15,37,1,2,2,2
556,26,2,13,34,1,1,1,1
1600,44,3,16,33,0,3,3,3
511,25,2,13,30,1,1,1,1
1411,40,3,11,32,1,3,3,3
1346,38,3,15,37,1,3,3,3
1522,37,2,15,37,0,3,3,3
1200,37,2,11,28,1,3,3,3
1377,48,3,15,36,1,3,3,3
625,26,3,11,30,1,1,1,1
1250,40,2,17,33,1,3,3,3
1082,44,3,20,36,1,3,3,3
693,36,2,18,38,0,1,1,1
727,29,2,11,31,0,1,1,1
615,49,3,16,38,0,1,1,1
913,33,3,5,31,1,2,2,2
800,34,2,17,36,0,2,2,2
1000,32,2,16,34,1,2,2,2
549,23,2,11,32,0,1,1,1
923,30,3,9,33,1,2,2,2
815,25,2,15,31,0,2,2,2
1058,48,2,18,35,1,1,3,3
940,20,2,9,29,0,2,2,2
1417,36,3,9,32,1,3,3,3
1000,32,2,11,29,1,2,2,2
500,26,3,14,32,0,1,1,1
766,31,2,17,35,0,2,2,2
795,35,2,16,34,1,2,2,2
850,35,2,16,37,1,2,2,2
1162,39,2,11,37,1,3,3,3
350,36,3,5,33,1,1,1,1
1463,47,3,14,37,1,3,3,3
802,26,2,13,29,1,2,2,2
642,18,2,12,30,1,1,1,1
751,37,3,9,28,1,1,1,1
675,42,2,20,38,1,1,1,1
375,24,3,9,30,1,1,1,1
346,37,2,16,38,1,1,1,1
1442,39,3,8,33,1,3,3,3
950,26,3,8,32,1,2,2,2
684,45,3,16,38,1,1,1,1
1322,43,3,7,33,1,3,3,3
1634,48,2,18,38,1,3,3,3
472,24,2,9,32,1,1,1,1
1039,43,3,1,31,1,2,2,2
1250,30,3,13,30,1,3,3,3
760,34,2,12,31,1,2,2,2
865,39,3,5,30,1,2,2,2
705,44,2,15,36,1,1,1,1
1000,36,2,16,35,1,2,2,2
770,25,2,16,35,1,2,2,2
1682,48,3,10,37,1,3,3,3
577,47,3,4,31,1,1,1,1
1040,38,2,19,38,1,2,2,2
600,40,3,7,28,1,1,1,1
988,39,2,15,36,1,2,2,2
705,32,2,19,36,1,1,1,1
1550,47,2,16,34,0,3,3,3
479,45,2,15,38,0,1,1,1
1201,38,2,17,36,0,3,3,3
1122,45,3,13,32,1,3,3,3
507,36,3,10,32,1,1,1,1
462,24,2,6,29,0,1,1,1
1566,44,2,7,29,1,3,3,3
1634,39,3,18,36,1,3,3,3
556,44,3,6,31,1,1,1,1
1200,42,3,7,33,1,3,3,3
855,21,2,6,31,0,2,2,2
1000,39,2,11,28,0,2,2,2
900,27,2,18,34,1,2,2,2
508,44,3,9,31,1,1,1,1
1500,20,3,6,29,0,3,3,3
750,45,3,13,35,1,1,1,1
409,26,2,17,38,0,1,1,1
1004,36,2,17,34,0,2,2,2
761,44,2,14,38,1,2,2,2
345,28,2,7,31,1,1,1,1
495,30,2,6,31,1,1,1,1
1098,22,3,6,32,1,3,3,3
1212,36,2,6,38,0,3,3,3
1500,43,3,9,32,1,3,3,3
460,22,2,16,36,1,1,1,1
945,41,2,12,38,1,2,2,2
1442,39,3,9,31,1,3,3,3
1333,50,3,14,38,1,3,3,3
1333,30,3,7,34,1,3,3,3
2162,48,3,10,32,1,3,3,3
797,38,2,10,36,0,2,2,2
400,34,2,14,32,1,1,1,1
1744,41,3,8,29,1,3,3,3
445,40,2,11,32,0,1,1,1
660,34,3,12,31,1,1,1,1
560,34,2,16,35,1,1,1,1
1122,54,3,7,32,1,3,3,3
962,45,3,15,37,1,2,2,2
722,36,3,8,38,1,1,1,1
1442,36,3,14,36,1,3,3,3
350,41,2,16,33,1,1,1,1
500,39,2,18,36,1,1,1,1
577,43,3,11,33,1,1,1,1
910,26,3,5,30,1,2,2,2
1000,40,2,17,38,1,2,2,2
1160,18,2,14,33,1,3,3,3
929,28,3,12,30,1,2,2,2
400,35,2,4,31,1,1,1,1
403,37,2,5,30,1,1,1,1
812,20,2,17,34,1,2,2,2
575,20,2,12,33,1,1,1,1
621,24,2,14,31,0,1,1,1
441,24,2,12,30,0,1,1,1
726,32,2,16,36,0,1,1,1
1000,41,3,8,34,1,2,2,2
865,30,2,10,30,1,2,2,2
1386,43,3,10,34,0,3,3,3
865,44,3,4,34,1,2,2,2
700,26,2,13,31,0,1,1,1
1300,40,3,12,33,1,3,3,3
900,37,3,12,31,1,2,2,2
829,33,2,15,36,1,2,2,2
1000,34,2,17,36,1,2,2,2
500,25,3,5,31,1,1,1,1
1155,25,3,9,28,1,3,3,3
950,30,3,8,29,1,2,2,2
1710,39,3,7,32,1,3,3,3
533,21,2,5,32,1,1,1,1
1354,49,3,13,35,0,3,3,3
962,34,2,16,33,1,2,2,2
905,31,2,17,37,0,2,2,2
1559,32,2,17,34,1,3,3,3
1312,39,2,14,32,1,3,3,3
923,36,3,8,35,1,2,2,2
879,41,3,1,31,1,2,2,2
800,37,3,14,38,1,2,2,2
583,35,3,10,37,0,1,1,1
1270,40,2,11,30,1,3,3,3
1832,38,2,16,36,1,3,3,3
1746,41,3,9,33,1,3,3,3
520,23,3,8,30,1,1,1,1
2137,45,3,11,36,1,3,3,3
692,49,3,9,38,1,1,1,1
931,40,3,4,36,1,2,2,2
812,46,3,11,34,1,2,2,2
528,40,3,5,30,1,1,1,1
881,41,2,4,36,0,2,2,2
1026,33,2,11,28,1,2,2,2
1212,26,2,11,28,1,3,3,3
1620,42,3,8,29,0,3,3,3
1843,38,3,11,32,1,3,3,3
1602,36,3,12,37,1,3,3,3
737,37,2,7,30,1,1,1,1
1025,30,3,6,32,1,2,2,2
1250,23,2,12,32,1,3,3,3
1130,40,3,4,38,0,3,3,3
900,35,2,6,28,1,2,2,2
1924,49,3,6,38,1,3,3,3
962,46,3,8,37,1,2,2,2
1573,28,2,5,30,1,3,3,3
940,46,3,11,36,1,2,2,2
882,34,2,15,31,0,2,2,2
1710,40,3,12,38,1,3,3,3
751,42,2,9,38,0,1,1,1
1154,42,3,11,34,0,3,3,3
857,41,2,18,38,1,2,2,2
1211,33,2,13,31,1,3,3,3
872,30,3,7,29,1,2,2,2
1200,26,2,18,34,1,3,3,3
1261,41,3,1,35,1,3,3,3
950,38,2,14,35,1,2,2,2
115,46,2,9,29,1,1,1,1
673,34,3,6,31,1,1,1,1
1058,40,3,13,34,1,1,3,3
800,38,2,20,38,0,2,2,2
369,36,3,11,31,0,1,1,1
1924,42,3,14,36,0,3,3,3
864,38,2,15,31,0,2,2,2
1092,34,3,15,36,1,3,3,3
673,21,2,17,35,0,1,1,1
1049,39,3,7,33,0,2,2,2
800,38,3,10,31,1,2,2,2
1200,32,3,9,32,1,3,3,3
664,30,2,8,29,1,1,1,1
850,38,3,8,34,1,2,2,2
875,32,2,8,29,1,2,2,2
1202,32,3,10,33,0,3,3,3
666,32,2,10,29,0,1,1,1
1442,42,2,9,37,1,3,3,3
866,26,2,11,30,0,2,2,2
680,35,2,13,32,0,1,1,1
875,22,2,16,38,0,2,2,2
2308,42,3,8,38,0,3,3,3
1196,45,3,10,32,0,3,3,3
1500,38,3,13,32,1,3,3,3
1050,31,3,4,31,1,2,2,2
801,30,3,6,29,1,2,2,2
889,37,2,12,28,1,2,2,2
1127,45,2,17,36,1,3,3,3
1104,39,2,11,29,0,3,3,3
800,27,2,10,29,0,2,2,2
370,31,2,13,31,0,1,1,1
596,26,2,16,33,0,1,1,1
418,26,2,12,31,0,1,1,1
1133,44,3,13,36,0,3,3,3
681,24,2,18,35,1,1,1,1
661,25,3,8,29,0,1,1,1
425,17,2,7,30,0,1,1,1
340,41,3,4,31,1,1,1,1
571,20,2,15,33,0,1,1,1
817,38,3,11,32,1,2,2,2
1026,34,3,12,35,1,2,2,2
788,42,2,13,36,1,2,2,2
850,34,2,6,33,1,2,2,2
662,27,3,7,28,0,1,1,1
562,30,2,11,28,0,1,1,1
357,37,3,5,30,1,1,1,1
750,28,2,14,32,0,1,1,1
750,27,2,4,32,0,1,1,1
900,36,3,1,30,0,2,2,2
540,25,2,12,29,0,1,1,1
642,26,3,9,30,0,1,1,1
513,40,3,8,33,0,1,1,1
618,39,3,6,31,1,1,1,1
1040,36,2,16,35,1,2,2,2
751,32,2,15,34,1,1,1,1
380,28,2,15,30,0,1,1,1
1573,42,3,7,34,1,3,3,3
700,40,2,15,32,0,1,1,1
520,28,2,15,31,0,1,1,1
891,36,2,16,32,0,2,2,2
570,43,2,11,30,1,1,1,1
1444,33,3,11,29,1,3,3,3
481,26,2,14,31,1,1,1,1
500,40,2,21,38,0,1,1,1
803,35,3,4,28,1,2,2,2
1000,37,2,9,29,1,2,2,2
492,38,2,15,34,0,1,1,1
1562,28,3,7,32,1,3,3,3
960,25,3,14,32,1,2,2,2
566,46,3,5,32,0,1,1,1
1442,45,3,8,35,1,3,3,3
645,39,2,11,35,0,1,1,1
788,23,2,15,32,0,2,2,2
644,38,2,11,33,0,1,1,1
664,30,3,10,34,1,1,1,1
1000,32,2,17,35,0,2,2,2
