wage,IQ,degree,exper,age,married,sibs,meduc
523,119,3,9,30,1,3,1
729,122,3,6,34,1,3,1
690,119,2,9,28,1,1,1
596,83,2,16,34,1,3,1
670,108,2,14,34,1,3,1
876,116,3,10,29,1,2,2
975,97,3,8,31,1,3,2
750,104,2,15,33,1,0,1
1206,110,2,16,38,1,1,3
1170,123,3,9,32,1,3,3
540,113,2,12,31,1,3,1
615,100,3,9,30,1,3,1
769,100,2,18,36,1,1,2
833,101,2,15,37,1,3,2
465,84,3,10,29,1,3,1
1100,92,3,21,38,1,3,3
1035,107,2,21,38,1,1,2
1212,129,3,9,32,0,3,3
938,108,2,19,38,1,0,2
1250,114,3,8,30,1,3,3
693,101,2,7,28,1,1,1
562,99,2,18,34,0,1,1
375,75,2,12,30,0,3,1
654,113,3,1,33,1,1,1
1111,98,3,10,29,1,3,3
1282,121,3,7,32,1,2,3
1424,96,3,15,37,1,2,3
1850,80,2,14,33,1,3,3
1575,117,2,13,30,1,3,3
1442,112,2,19,36,1,3,3
1126,116,2,5,31,1,3,3
500,83,2,13,32,1,3,1
1200,84,2,13,32,1,3,3
2137,120,3,16,37,1,3,3
1200,108,2,16,33,1,3,3
1161,99,3,16,36,1,0,3
750,93,2,17,36,1,1,1
1026,85,2,4,38,1,1,2
1541,94,2,8,32,1,3,3
310,104,3,10,33,0,2,1
1749,101,2,16,36,1,2,3
765,94,2,17,37,1,3,2
818,92,2,16,38,1,3,2
938,130,3,15,33,1,3,2
2099,119,3,10,32,1,0,3
940,104,2,13,32,1,3,2
1000,96,2,15,37,1,3,2
995,92,2,22,38,1,3,2
1600,109,3,16,33,1,2,3
511,101,2,13,30,1,3,1
1411,111,3,11,32,1,1,3
1522,102,2,15,37,1,3,3
1200,99,2,11,28,1,3,3
1377,118,3,15,36,1,2,3
615,99,3,16,38,1,2,1
800,106,2,17,36,1,3,2
812,131,3,9,30,0,1,2
549,79,2,11,32,0,3,1
1300,100,2,13,31,1,3,3
721,105,2,11,30,1,3,1
1100,104,2,18,37,1,2,3
433,100,2,5,37,1,2,1
940,71,2,9,29,1,2,2
1000,93,2,11,29,1,3,2
500,98,3,14,32,1,3,1
750,94,3,12,33,1,1,1
723,102,2,12,30,1,3,1
1039,113,3,12,34,1,1,2
850,97,2,16,37,1,1,2
508,87,2,16,32,1,2,1
963,85,3,9,28,1,3,2
1463,104,3,14,37,1,3,3
802,99,2,13,29,1,3,2
751,114,3,9,28,1,2,1
1400,92,2,15,36,1,2,3
940,98,3,10,31,1,2,2
346,110,2,16,38,1,2,1
560,112,3,13,32,1,3,1
950,96,3,8,32,1,1,2
1634,95,2,18,38,1,3,3
666,89,2,16,34,1,3,1
1679,127,3,10,32,1,1,3
1154,88,2,14,29,1,2,3
1602,110,3,14,37,1,3,3
1000,101,2,16,35,1,1,2
852,89,2,13,32,1,3,2
1329,115,3,10,36,1,1,3
1682,115,3,10,37,1,1,3
685,93,2,17,38,0,3,1
577,111,3,8,29,0,1,1
1040,101,2,19,38,1,3,2
1250,92,3,10,32,0,1,3
1000,93,2,11,29,1,3,2
478,90,2,19,34,1,2,1
440,84,2,11,30,1,3,1
705,89,2,19,36,1,0,1
1550,104,2,16,34,1,3,3
1000,100,2,16,32,1,2,2
479,97,2,15,38,1,3,1
1346,60,3,8,31,1,2,3
543,90,3,5,38,1,1,1
450,63,2,12,31,1,3,1
547,88,2,17,34,1,3,1
1634,94,3,18,36,1,2,3
1200,109,3,7,33,1,2,3
855,89,2,6,31,1,3,2
1053,90,2,18,37,1,1,2
900,100,2,18,34,0,2,2
1602,111,3,10,31,1,1,3
508,125,3,9,31,1,3,1
1500,124,3,6,29,1,2,3
1682,107,3,15,32,1,0,3
843,102,3,8,29,1,1,2
495,88,2,6,31,1,2,1
1212,95,2,6,38,1,3,3
577,92,3,8,28,1,1,1
390,74,3,10,30,1,3,1
460,92,2,16,36,1,3,1
1333,112,3,14,38,1,1,3
1500,119,3,8,33,0,1,3
1333,103,3,7,34,1,3,3
797,89,2,10,36,1,1,2
400,88,2,14,32,1,3,1
1015,67,2,15,32,1,3,2
630,103,3,14,32,1,0,1
445,91,2,11,32,1,0,1
779,85,2,14,37,1,3,2
377,83,2,9,36,0,1,1
453,94,2,9,30,1,3,1
962,105,3,15,37,1,3,2
1091,88,3,13,37,1,3,3
350,93,2,16,33,0,1,1
1026,113,3,9,30,1,2,2
915,114,2,17,37,1,1,2
910,82,3,5,30,1,3,2
1000,89,2,17,38,1,3,2
1160,74,2,14,33,1,3,3
713,75,2,5,36,1,3,1
929,97,3,12,30,1,2,2
400,68,2,4,31,1,3,1
1241,83,3,9,33,1,2,3
403,98,2,5,30,1,2,1
812,81,2,17,34,1,2,2
700,85,2,13,35,1,3,1
450,79,2,20,36,1,3,1
621,84,2,14,31,1,3,1
726,93,2,16,36,1,3,1
393,92,2,15,38,1,1,1
962,109,2,21,37,1,0,2
732,104,2,10,36,1,1,1
700,81,2,13,31,1,3,1
500,87,3,5,31,1,3,1
1710,114,3,7,32,1,1,3
533,65,2,5,32,0,3,1
1539,111,3,10,37,1,3,3
962,110,2,16,33,1,2,2
990,67,2,16,34,1,2,2
926,64,2,18,38,1,3,2
1559,103,2,17,34,1,3,3
1312,118,2,14,32,1,0,3
923,118,3,8,35,1,3,2
879,118,3,1,31,1,1,2
800,75,3,14,38,1,0,2
797,90,3,11,33,1,3,2
360,110,3,11,38,0,3,1
520,126,3,8,30,1,3,1
2137,108,3,11,36,1,2,3
931,108,3,4,36,1,3,2
812,115,3,11,34,1,1,2
500,101,3,12,32,1,2,1
528,116,3,5,30,1,3,1
1212,98,2,11,28,0,3,3
1843,109,3,11,32,1,3,3
1602,124,3,12,37,1,1,3
1699,100,2,11,33,1,1,3
1107,112,2,12,38,1,3,3
625,73,2,1,31,1,3,1
720,101,3,1,29,1,3,1
855,99,2,19,36,1,1,2
1250,95,2,12,32,1,2,3
962,112,3,8,37,1,2,2
1874,64,2,22,38,1,3,3
1573,90,2,5,30,1,3,3
900,119,3,8,30,1,1,2
1710,118,3,12,38,1,1,3
751,96,2,9,38,1,1,1
1250,78,2,16,33,1,3,3
1211,92,2,13,31,1,3,3
904,98,3,7,33,1,3,2
872,115,3,7,29,1,3,2
950,96,2,14,35,1,1,2
1084,95,3,17,37,1,1,3
1058,94,3,13,34,1,0,3
1924,105,3,14,36,1,0,3
1092,110,3,15,36,1,3,3
1049,122,3,7,33,1,3,2
1200,79,3,9,32,1,0,3
664,105,2,8,29,1,3,1
1111,90,2,18,37,1,3,3
850,111,3,8,34,1,3,2
875,92,2,8,29,0,3,2
1202,131,3,10,33,1,3,3
923,110,3,15,37,1,2,2
788,99,2,10,28,1,3,2
1442,105,2,9,37,1,3,3
866,85,2,11,30,1,3,2
2308,116,3,8,38,1,3,3
1196,96,3,10,32,1,2,3
721,100,2,8,29,1,3,1
1050,97,3,4,31,1,2,2
801,100,3,6,29,1,2,2
1198,117,3,7,30,1,1,3
390,93,2,4,32,1,1,1
889,116,2,12,28,1,1,2
750,103,3,1,37,1,1,1
855,118,3,6,33,1,3,2
800,96,2,10,29,1,1,2
1384,104,3,8,31,1,3,3
510,62,2,13,33,0,3,1
596,62,2,16,33,1,3,1
418,76,2,12,31,1,0,1
681,94,2,18,35,0,3,1
661,96,3,8,29,0,3,1
550,95,2,14,31,1,0,1
817,101,3,11,32,1,1,2
987,96,2,11,29,1,1,2
616,104,2,16,35,1,3,1
900,106,2,10,38,1,3,2
1418,102,2,19,36,1,2,3
662,99,3,7,28,1,3,1
357,115,3,5,30,1,3,1
1009,118,3,11,32,1,0,2
1442,108,2,17,36,1,1,3
651,76,2,11,29,1,3,1
754,55,2,13,33,1,2,1
700,73,2,17,38,1,3,1
503,84,2,11,30,0,3,1
750,83,2,4,32,1,3,1
642,87,3,9,30,1,3,1
400,96,3,6,28,0,3,1
900,80,2,15,38,1,3,2
894,104,3,7,35,1,3,2
751,104,2,15,34,1,3,1
300,83,2,16,37,1,3,1
1070,91,2,13,30,1,1,3
650,97,2,14,30,1,3,1
700,99,2,15,32,1,3,1
494,74,2,16,34,1,3,1
890,100,2,4,31,1,0,2
520,86,2,15,31,1,0,1
570,101,2,11,30,1,2,1
1473,110,3,15,36,1,1,3
962,97,3,7,30,1,0,2
1000,103,2,9,29,1,0,2
450,95,2,12,30,1,2,1
629,93,2,6,30,1,3,1
566,104,3,5,32,1,1,1
481,82,2,9,32,1,2,1
1442,113,3,8,35,1,2,3
788,100,2,15,32,1,3,2
644,101,2,11,33,1,3,1
477,100,2,9,31,1,3,1
664,82,3,10,34,1,3,1
873,109,2,12,28,1,1,2
1000,107,2,17,35,1,3,2
